888
  4.933470195400000e-01   1.264588247700000e-01  -5.010000000000000e-02
  4.933458010376652e-01   1.264596995568656e-01  -5.010000000000000e-02
  4.933445670637313e-01   1.264605854510974e-01  -5.010000000000000e-02
  4.933433174232084e-01   1.264614825926825e-01  -5.010000000000000e-02
  4.933420519186866e-01   1.264623911233453e-01  -5.010000000000000e-02
  4.933407703503069e-01   1.264633111865688e-01  -5.010000000000000e-02
  4.933394725157315e-01   1.264642429276150e-01  -5.010000000000000e-02
  4.933381582101143e-01   1.264651864935471e-01  -5.010000000000000e-02
  4.933368272260709e-01   1.264661420332504e-01  -5.010000000000000e-02
  4.933354793536481e-01   1.264671096974544e-01  -5.010000000000000e-02
  4.933341143802932e-01   1.264680896387550e-01  -5.010000000000001e-02
  4.933327320908229e-01   1.264690820116365e-01  -5.010000000000000e-02
  4.933313322673918e-01   1.264700869724943e-01  -5.010000000000000e-02
  4.933299146894610e-01   1.264711046796577e-01  -5.010000000000001e-02
  4.933286385755535e-01   1.264723112162700e-01  -5.010000000000000e-02
  4.933274573799368e-01   1.264736556369442e-01  -5.010000000000000e-02
  4.933262612076275e-01   1.264750171038849e-01  -5.010000000000000e-02
  4.933250498704165e-01   1.264763958313089e-01  -5.010000000000000e-02
  4.933238231777728e-01   1.264777920360760e-01  -5.009999999999999e-02
  4.933225809368161e-01   1.264792059377201e-01  -5.010000000000000e-02
  4.933213229522884e-01   1.264806377584811e-01  -5.010000000000000e-02
  4.933200490265262e-01   1.264820877233369e-01  -5.010000000000000e-02
  4.933187589594322e-01   1.264835560600356e-01  -5.010000000000001e-02
  4.933174525484461e-01   1.264850429991283e-01  -5.010000000000000e-02
  4.933161295885162e-01   1.264865487740022e-01  -5.010000000000000e-02
  4.933147898720694e-01   1.264880736209143e-01  -5.010000000000001e-02
  4.933134331889818e-01   1.264896177790244e-01  -5.010000000000000e-02
  4.933122751560586e-01   1.264913412408259e-01  -5.010000000000001e-02
  4.933111671196087e-01   1.264931343818470e-01  -5.010000000000000e-02
  4.933100450559717e-01   1.264949502231360e-01  -5.010000000000001e-02
  4.933089087894318e-01   1.264967890490552e-01  -5.010000000000000e-02
  4.933077581421193e-01   1.264986511474519e-01  -5.010000000000000e-02
  4.933065929339857e-01   1.265005368096990e-01  -5.010000000000000e-02
  4.933054129827790e-01   1.265024463307367e-01  -5.010000000000000e-02
  4.933042181040168e-01   1.265043800091132e-01  -5.010000000000000e-02
  4.933030081109611e-01   1.265063381470278e-01  -5.010000000000001e-02
  4.933017828145919e-01   1.265083210503722e-01  -5.010000000000000e-02
  4.933005420235810e-01   1.265103290287744e-01  -5.010000000000000e-02
  4.932992855442644e-01   1.265123623956414e-01  -5.010000000000000e-02
  4.932980859252309e-01   1.265144605097914e-01  -5.010000000000000e-02
  4.932970604929187e-01   1.265166867671894e-01  -5.010000000000000e-02
  4.932960221010379e-01   1.265189411603649e-01  -5.010000000000000e-02
  4.932949705878063e-01   1.265212240405543e-01  -5.010000000000000e-02
  4.932939057894729e-01   1.265235357632675e-01  -5.009999999999999e-02
  4.932928275402961e-01   1.265258766883370e-01  -5.010000000000000e-02
  4.932917356725202e-01   1.265282471799674e-01  -5.010000000000000e-02
  4.932906300163526e-01   1.265306476067860e-01  -5.010000000000000e-02
  4.932895103999402e-01   1.265330783418927e-01  -5.009999999999999e-02
  4.932883766493464e-01   1.265355397629119e-01  -5.010000000000000e-02
  4.932872285885268e-01   1.265380322520433e-01  -5.010000000000001e-02
  4.932860660393051e-01   1.265405561961148e-01  -5.010000000000000e-02
  4.932849191321638e-01   1.265431243120308e-01  -5.010000000000000e-02
  4.932839667983094e-01   1.265458098296921e-01  -5.010000000000000e-02
  4.932830024523529e-01   1.265485292206768e-01  -5.009999999999999e-02
  4.932820259449434e-01   1.265512829061438e-01  -5.010000000000000e-02
  4.932810371249288e-01   1.265540713123324e-01  -5.010000000000001e-02
  4.932800358393347e-01   1.265568948706200e-01  -5.010000000000000e-02
  4.932790219333442e-01   1.265597540175798e-01  -5.010000000000000e-02
  4.932779952502773e-01   1.265626491950390e-01  -5.010000000000000e-02
  4.932769556315698e-01   1.265655808501377e-01  -5.010000000000000e-02
  4.932759029167526e-01   1.265685494353889e-01  -5.010000000000000e-02
  4.932748369434295e-01   1.265715554087377e-01  -5.009999999999999e-02
  4.932737575472571e-01   1.265745992336227e-01  -5.010000000000000e-02
  4.932727498889742e-01   1.265777083727350e-01  -5.010000000000000e-02
  4.932718602492990e-01   1.265808979950958e-01  -5.010000000000000e-02
  4.932709594139680e-01   1.265841277572060e-01  -5.010000000000000e-02
  4.932700472444368e-01   1.265873981557892e-01  -5.010000000000000e-02
  4.932691236005061e-01   1.265907096935013e-01  -5.009999999999999e-02
  4.932681883403038e-01   1.265940628789954e-01  -5.010000000000000e-02
  4.932672413202670e-01   1.265974582269882e-01  -5.010000000000000e-02
  4.932662823951225e-01   1.266008962583261e-01  -5.010000000000001e-02
  4.932653114178692e-01   1.266043775000525e-01  -5.010000000000000e-02
  4.932643282397584e-01   1.266079024854752e-01  -5.010000000000000e-02
  4.932633327102751e-01   1.266114717542350e-01  -5.010000000000000e-02
  4.932623572814317e-01   1.266150939910055e-01  -5.010000000000000e-02
  4.932615384487087e-01   1.266188038585310e-01  -5.010000000000000e-02
  4.932607093363967e-01   1.266225602995655e-01  -5.010000000000000e-02
  4.932598698179244e-01   1.266263638875634e-01  -5.010000000000001e-02
  4.932590197652250e-01   1.266302152027538e-01  -5.009999999999999e-02
  4.932581590487205e-01   1.266341148322129e-01  -5.010000000000000e-02
  4.932572875373052e-01   1.266380633699378e-01  -5.010000000000000e-02
  4.932564050983301e-01   1.266420614169200e-01  -5.009999999999999e-02
  4.932555115975854e-01   1.266461095812198e-01  -5.010000000000001e-02
  4.932546068992847e-01   1.266502084780419e-01  -5.010000000000001e-02
