x,y,cp,dun
0.985147863,0.001917876,0.133400741,0.001106477
0.982962913,0.002045223,0.130502612,0.001121428
0.980630848,0.002180882,0.127522906,0.001136795
0.978152378,0.002324746,0.124482571,0.001152403
0.975528258,0.002476672,0.121399882,0.001168205
0.972759288,0.002636527,0.118296195,0.001184004
0.96984631,0.002804253,0.115181387,0.001199624
0.966790213,0.002979834,0.112036918,0.001215191
0.963591927,0.003163257,0.108873634,0.001230879
0.960252427,0.003354338,0.105695916,0.00124666
0.956772729,0.003552803,0.102535271,0.001262469
0.953153894,0.003758382,0.099415458,0.00127795
0.949397023,0.003970992,0.096338709,0.001292889
0.945503262,0.004190639,0.093284971,0.001307622
0.941473796,0.004417327,0.090240244,0.001322272
0.937309854,0.004650939,0.087213414,0.001336851
0.933012702,0.004891283,0.084209118,0.001351454
0.92858365,0.005138177,0.081239292,0.001365813
0.924024048,0.005391471,0.078311492,0.001379941
0.919335284,0.005651029,0.075414764,0.001393915
0.914518786,0.005916711,0.072550234,0.001407809
0.909576022,0.006188354,0.069732828,0.001421585
0.904508497,0.00646578,0.066949657,0.001434938
0.899317755,0.006748828,0.064220022,0.001448224
0.894005377,0.007037441,0.061520587,0.001461173
0.888572981,0.007331615,0.058844982,0.001474305
0.883022222,0.007631342,0.056184924,0.001487389
0.87735479,0.007936439,0.053533169,0.00150048
0.871572413,0.008246662,0.050907869,0.001513745
0.865676851,0.00856176,0.048320976,0.001526696
0.8596699,0.008881574,0.045758127,0.001539829
0.853553391,0.009205971,0.043229611,0.001552679
0.847329185,0.009534828,0.040722593,0.00156548
0.84099918,0.009868044,0.038244681,0.001578428
0.834565303,0.010205524,0.03577425,0.001591604
0.828029514,0.010547181,0.033325617,0.001604602
0.821393805,0.010892868,0.030877911,0.001617311
0.814660196,0.011242432,0.028423822,0.001630592
0.807830738,0.011595716,0.025988232,0.001644227
0.800907512,0.011952536,0.023565067,0.00165764
0.793892626,0.012312708,0.021141421,0.001671198
0.786788218,0.012676036,0.018726578,0.001684963
0.779596452,0.013042356,0.016319056,0.001698622
0.772319518,0.0134115,0.01391314,0.001712603
0.764959632,0.013783318,0.01151475,0.001726947
0.757519037,0.014157715,0.009118425,0.001741036
0.75,0.014534626,0.006678915,0.001755344
0.74240481,0.014913949,0.004224079,0.001770606
0.734735781,0.015295337,0.001747841,0.001785984
0.72699525,0.015678355,-0.000724788,0.001801415
0.719185573,0.01606259,-0.003163802,0.00181722
0.711309131,0.016447987,-0.005595222,0.001832746
0.703368322,0.016834613,-0.008068809,0.001848584
0.695365564,0.017222489,-0.01059625,0.001865007
0.687303297,0.017611263,-0.013151765,0.001882129
0.679183975,0.018000434,-0.01572354,0.001899526
0.671010072,0.018389557,-0.018289816,0.001917205
0.662784077,0.018778401,-0.020859127,0.001935016
0.654508497,0.019166873,-0.023458495,0.0019528
0.646185852,0.019554822,-0.026095581,0.001971181
0.637818678,0.019941947,-0.028772147,0.00199024
0.629409523,0.020327856,-0.031476915,0.002009479
0.620960948,0.020712169,-0.034194789,0.00202921
0.612475527,0.021094499,-0.036948523,0.002049304
0.603955845,0.021474467,-0.039705729,0.002070131
0.595404498,0.021851693,-0.042478286,0.002090899
0.586824089,0.022225856,-0.045283783,0.002111495
0.578217233,0.022596656,-0.048100699,0.002133168
0.56958655,0.02296377,-0.050936677,0.002155719
0.560934672,0.023326793,-0.053811128,0.002178108
0.552264232,0.023685269,-0.056708774,0.002200395
0.543577871,0.024038767,-0.059619854,0.002223099
0.534878237,0.024386906,-0.06256077,0.002246588
0.526167978,0.024729335,-0.065518171,0.002271282
0.517449748,0.02506566,-0.068492333,0.002296351
0.508726203,0.025395334,-0.071501123,0.002321095
0.5,0.025717739,-0.074516276,0.002346007
0.491273797,0.026032318,-0.077508862,0.002371622
0.482550252,0.026338632,-0.080487282,0.002397728
0.473832022,0.026636319,-0.08346704,0.002424016
0.465121763,0.026924985,-0.086459409,0.002450589
0.456422129,0.027204067,-0.089439816,0.002477791
0.447735768,0.027472958,-0.09238628,0.002505111
0.439065328,0.027731098,-0.095292603,0.002532786
0.43041345,0.027978043,-0.098156111,0.002560938
0.421782767,0.028213409,-0.10097883,0.00258892
0.413175911,0.02843678,-0.103765595,0.002616859
0.404595502,0.028647656,-0.106507022,0.002645643
0.396044155,0.028845499,-0.109180147,0.002674851
0.387524473,0.029029774,-0.111769751,0.002703934
0.379039052,0.02919984,-0.114242836,0.002733281
0.370590477,0.029355042,-0.116539756,0.002762464
0.362181322,0.029494868,-0.118632574,0.002790797
0.353814148,0.029619107,-0.120571817,0.0028191
0.345491503,0.029727796,-0.122346115,0.002848227
0.337215923,0.029820409,-0.123952052,0.002878726
0.328989928,0.0298954,-0.125116226,0.002907659
0.320816025,0.029950456,-0.12517984,0.002929253
0.312696703,0.029985377,-0.123994233,0.002941952
0.304634436,0.030004786,-0.122274082,0.002948914
0.296631678,0.030015088,-0.120690607,0.002954406
0.288690869,0.030021488,-0.11962644,0.002961784
0.280814427,0.03002667,-0.11940813,0.002972296
0.27300475,0.030032516,-0.12022447,0.00298692
0.265264219,0.030040095,-0.121948553,0.003006508
0.25759519,0.0300481,-0.124447599,0.003030391
0.25,0.03005484,-0.12751059,0.003056647
0.242480963,0.030058847,-0.130949958,0.003084575
0.235040368,0.030059074,-0.134735599,0.003113787
0.227680482,0.030054601,-0.138834052,0.00314422
0.220403548,0.030044562,-0.143241627,0.00317525
0.213211782,0.030028127,-0.147957575,0.00320731
0.206107374,0.030004545,-0.153010001,0.003240554
0.199092488,0.029972898,-0.158385163,0.00327478
0.192169262,0.029931985,-0.164010611,0.003309985
0.185339804,0.029880685,-0.169842518,0.003344936
0.178606195,0.029818034,-0.175856057,0.00338027
0.171970486,0.029743238,-0.182052337,0.003416324
0.165434697,0.029655615,-0.188490052,0.003452599
0.15900082,0.02955436,-0.195160441,0.003490259
0.152670815,0.029438495,-0.202012045,0.003529367
0.146446609,0.029307197,-0.209048333,0.003569505
0.1403301,0.029159603,-0.216246771,0.003610985
0.134323149,0.028994843,-0.22356923,0.003653844
0.128427587,0.028812232,-0.231032669,0.003698617
0.12264521,0.028611066,-0.238616857,0.003744982
0.116977778,0.028390669,-0.246331965,0.003792775
0.111427019,0.028150573,-0.254252617,0.003843036
0.105994623,0.027890032,-0.262317341,0.003895845
0.100682245,0.027608227,-0.270460978,0.003950639
0.095491503,0.027304609,-0.278721152,0.004007959
0.090423978,0.026978459,-0.287010004,0.004067593
0.085481214,0.02662912,-0.295272648,0.004128788
0.080664716,0.026256254,-0.30358759,0.004192906
0.075975952,0.025859296,-0.311856133,0.004259228
0.07141635,0.025437803,-0.320059182,0.004327713
0.066987298,0.024991662,-0.328389656,0.004401142
0.062690146,0.024520114,-0.336572392,0.004478014
0.058526204,0.024022525,-0.344433186,0.004557028
0.054496738,0.02349876,-0.352111835,0.004640925
0.050602977,0.022948233,-0.359280235,0.004727574
0.046846106,0.022370737,-0.365893775,0.00481688
0.043227271,0.021766546,-0.372345282,0.004916487
0.039747573,0.021134797,-0.377885874,0.005022511
0.036408073,0.020475114,-0.382245639,0.005134913
0.033209787,0.019787806,-0.385880655,0.00526528
0.03015369,0.019071896,-0.387540187,0.00540702
0.027240712,0.018327262,-0.386720246,0.005556263
0.024471742,0.017554624,-0.384319745,0.005730097
0.021847622,0.016752827,-0.378107529,0.005911004
0.019369152,0.015922035,-0.367546048,0.00609781
0.017037087,0.015063422,-0.353778927,0.006323509
0.014852137,0.014175287,-0.332664764,0.006569565
0.012814968,0.013257933,-0.302533807,0.006824533
0.0109262,0.01231309,-0.265727161,0.007036726
0.009186408,0.011338493,-0.216800028,0.007110884
