TITLE     = "Fluent Common Fluid Files Data"
VARIABLES = "X"
"Y"
"Static Pressure"
"Static Temperature"
DATASETAUXDATA Common.DensityVar="5"
DATASETAUXDATA Common.PressureVar="11"
DATASETAUXDATA Common.TemperatureVar="13"
DATASETAUXDATA Common.TurbulentDynamicViscosityVar="9"
DATASETAUXDATA Common.TurbulentKineticEnergyVar="7"
DATASETAUXDATA Common.UVar="14"
DATASETAUXDATA Common.VectorVarsAreVelocity="True"
DATASETAUXDATA Common.ViscosityVar="8"
DATASETAUXDATA Common.VVar="15"
ZONE T="Rectangular zone"
 STRANDID=0, SOLUTIONTIME=4725
 I=512, J=512, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE SINGLE SINGLE )
 -5.000000000E-01 -1.000000000E+00 1.017861953E+05 3.003891907E+02
 -4.960860908E-01 -1.000000000E+00 1.017867109E+05 3.003896179E+02
 -4.921722114E-01 -1.000000000E+00 1.017872969E+05 3.003901062E+02
 -4.882583022E-01 -1.000000000E+00 1.017878750E+05 3.003905945E+02
 -4.843444228E-01 -1.000000000E+00 1.017883828E+05 3.003910522E+02
 -4.804305136E-01 -1.000000000E+00 1.017888281E+05 3.003914185E+02
 -4.765166342E-01 -1.000000000E+00 1.017892969E+05 3.003918457E+02
 -4.726027250E-01 -1.000000000E+00 1.017898594E+05 3.003923035E+02
 -4.686888456E-01 -1.000000000E+00 1.017903984E+05 3.003927612E+02
 -4.647749364E-01 -1.000000000E+00 1.017908047E+05 3.003931274E+02
 -4.608610570E-01 -1.000000000E+00 1.017912188E+05 3.003934937E+02
 -4.569471478E-01 -1.000000000E+00 1.017916719E+05 3.003938599E+02
 -4.530332685E-01 -1.000000000E+00 1.017921953E+05 3.003943176E+02
 -4.491193593E-01 -1.000000000E+00 1.017926094E+05 3.003946838E+02
 -4.452054799E-01 -1.000000000E+00 1.017930000E+05 3.003950195E+02
 -4.412915707E-01 -1.000000000E+00 1.017933828E+05 3.003953552E+02
 -4.373776913E-01 -1.000000000E+00 1.017938203E+05 3.003957214E+02
 -4.334637821E-01 -1.000000000E+00 1.017942344E+05 3.003960876E+02
 -4.295499027E-01 -1.000000000E+00 1.017946016E+05 3.003963928E+02
 -4.256359935E-01 -1.000000000E+00 1.017949609E+05 3.003966980E+02
 -4.217221141E-01 -1.000000000E+00 1.017953203E+05 3.003970032E+02
 -4.178082049E-01 -1.000000000E+00 1.017956953E+05 3.003973389E+02
 -4.138943255E-01 -1.000000000E+00 1.017960312E+05 3.003976440E+02
 -4.099804163E-01 -1.000000000E+00 1.017964688E+05 3.003980103E+02
 -4.060665369E-01 -1.000000000E+00 1.017968984E+05 3.003984070E+02
 -4.021526277E-01 -1.000000000E+00 1.017972578E+05 3.003987122E+02
 -3.982387483E-01 -1.000000000E+00 1.017976641E+05 3.003990784E+02
 -3.943248391E-01 -1.000000000E+00 1.017980625E+05 3.003994446E+02
 -3.904109597E-01 -1.000000000E+00 1.017984688E+05 3.003998108E+02
 -3.864970505E-01 -1.000000000E+00 1.017987266E+05 3.004000244E+02
 -3.825831711E-01 -1.000000000E+00 1.017990625E+05 3.004003296E+02
 -3.786692619E-01 -1.000000000E+00 1.017994297E+05 3.004006653E+02
 -3.747553825E-01 -1.000000000E+00 1.017998047E+05 3.004009705E+02
 -3.708414733E-01 -1.000000000E+00 1.017999922E+05 3.004011536E+02
 -3.669275939E-01 -1.000000000E+00 1.018002500E+05 3.004013672E+02
 -3.630136847E-01 -1.000000000E+00 1.018005938E+05 3.004016724E+02
 -3.590998054E-01 -1.000000000E+00 1.018009297E+05 3.004019775E+02
 -3.551858962E-01 -1.000000000E+00 1.018010391E+05 3.004020691E+02
 -3.512720168E-01 -1.000000000E+00 1.018012422E+05 3.004022217E+02
 -3.473581076E-01 -1.000000000E+00 1.018015547E+05 3.004024963E+02
 -3.434442282E-01 -1.000000000E+00 1.018017969E+05 3.004027100E+02
 -3.395303190E-01 -1.000000000E+00 1.018018750E+05 3.004028015E+02
 -3.356164396E-01 -1.000000000E+00 1.018020469E+05 3.004029541E+02
 -3.317025304E-01 -1.000000000E+00 1.018023281E+05 3.004031982E+02
 -3.277886510E-01 -1.000000000E+00 1.018024609E+05 3.004032898E+02
 -3.238747418E-01 -1.000000000E+00 1.018025234E+05 3.004033508E+02
 -3.199608624E-01 -1.000000000E+00 1.018026719E+05 3.004035034E+02
 -3.160469532E-01 -1.000000000E+00 1.018029062E+05 3.004037170E+02
 -3.121330738E-01 -1.000000000E+00 1.018029453E+05 3.004037476E+02
 -3.082191646E-01 -1.000000000E+00 1.018029844E+05 3.004037781E+02
 -3.043052852E-01 -1.000000000E+00 1.018031328E+05 3.004039001E+02
 -3.003913760E-01 -1.000000000E+00 1.018032344E+05 3.004039917E+02
 -2.964774966E-01 -1.000000000E+00 1.018032500E+05 3.004040222E+02
 -2.925635874E-01 -1.000000000E+00 1.018032656E+05 3.004040527E+02
 -2.886497080E-01 -1.000000000E+00 1.018033906E+05 3.004041748E+02
 -2.847357988E-01 -1.000000000E+00 1.018033828E+05 3.004041748E+02
 -2.808219194E-01 -1.000000000E+00 1.018033750E+05 3.004041748E+02
 -2.769080102E-01 -1.000000000E+00 1.018033750E+05 3.004041748E+02
 -2.729941308E-01 -1.000000000E+00 1.018033906E+05 3.004042053E+02
 -2.690802217E-01 -1.000000000E+00 1.018033594E+05 3.004042053E+02
 -2.651663423E-01 -1.000000000E+00 1.018033281E+05 3.004042053E+02
