TITLE     = "Fluent Common Fluid Files Data"
VARIABLES = "X"
"Y"
"Static Pressure"
"Static Temperature"
DATASETAUXDATA Common.DensityVar="5"
DATASETAUXDATA Common.PressureVar="11"
DATASETAUXDATA Common.TemperatureVar="13"
DATASETAUXDATA Common.TurbulentDynamicViscosityVar="9"
DATASETAUXDATA Common.TurbulentKineticEnergyVar="7"
DATASETAUXDATA Common.UVar="14"
DATASETAUXDATA Common.VectorVarsAreVelocity="True"
DATASETAUXDATA Common.ViscosityVar="8"
DATASETAUXDATA Common.VVar="15"
ZONE T="Rectangular zone"
 STRANDID=0, SOLUTIONTIME=5435
 I=512, J=512, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE SINGLE SINGLE )
 -5.000000000E-01 -1.000000000E+00 1.017119219E+05 3.003264465E+02
 -4.960860908E-01 -1.000000000E+00 1.017115703E+05 3.003261719E+02
 -4.921722114E-01 -1.000000000E+00 1.017112109E+05 3.003258667E+02
 -4.882583022E-01 -1.000000000E+00 1.017108594E+05 3.003255920E+02
 -4.843444228E-01 -1.000000000E+00 1.017102969E+05 3.003251038E+02
 -4.804305136E-01 -1.000000000E+00 1.017098047E+05 3.003246765E+02
 -4.765166342E-01 -1.000000000E+00 1.017094141E+05 3.003243713E+02
 -4.726027250E-01 -1.000000000E+00 1.017090234E+05 3.003240356E+02
 -4.686888456E-01 -1.000000000E+00 1.017085156E+05 3.003236084E+02
 -4.647749364E-01 -1.000000000E+00 1.017078281E+05 3.003230286E+02
 -4.608610570E-01 -1.000000000E+00 1.017073516E+05 3.003226318E+02
 -4.569471478E-01 -1.000000000E+00 1.017069297E+05 3.003222656E+02
 -4.530332685E-01 -1.000000000E+00 1.017064531E+05 3.003218689E+02
 -4.491193593E-01 -1.000000000E+00 1.017057500E+05 3.003212891E+02
 -4.452054799E-01 -1.000000000E+00 1.017050625E+05 3.003207092E+02
 -4.412915707E-01 -1.000000000E+00 1.017046172E+05 3.003203125E+02
 -4.373776913E-01 -1.000000000E+00 1.017041406E+05 3.003199158E+02
 -4.334637821E-01 -1.000000000E+00 1.017034297E+05 3.003193054E+02
 -4.295499027E-01 -1.000000000E+00 1.017027109E+05 3.003186951E+02
 -4.256359935E-01 -1.000000000E+00 1.017021094E+05 3.003182068E+02
 -4.217221141E-01 -1.000000000E+00 1.017016250E+05 3.003177795E+02
 -4.178082049E-01 -1.000000000E+00 1.017008906E+05 3.003171692E+02
 -4.138943255E-01 -1.000000000E+00 1.017001562E+05 3.003165283E+02
 -4.099804163E-01 -1.000000000E+00 1.016994297E+05 3.003159180E+02
 -4.060665369E-01 -1.000000000E+00 1.016989062E+05 3.003154907E+02
 -4.021526277E-01 -1.000000000E+00 1.016981562E+05 3.003148499E+02
 -3.982387483E-01 -1.000000000E+00 1.016973984E+05 3.003142090E+02
 -3.943248391E-01 -1.000000000E+00 1.016966484E+05 3.003135681E+02
 -3.904109597E-01 -1.000000000E+00 1.016959844E+05 3.003129883E+02
 -3.864970505E-01 -1.000000000E+00 1.016952109E+05 3.003123169E+02
 -3.825831711E-01 -1.000000000E+00 1.016944297E+05 3.003116455E+02
 -3.786692619E-01 -1.000000000E+00 1.016936484E+05 3.003110046E+02
 -3.747553825E-01 -1.000000000E+00 1.016927734E+05 3.003102722E+02
 -3.708414733E-01 -1.000000000E+00 1.016918984E+05 3.003095398E+02
 -3.669275939E-01 -1.000000000E+00 1.016910312E+05 3.003088074E+02
 -3.630136847E-01 -1.000000000E+00 1.016901562E+05 3.003081055E+02
 -3.590998054E-01 -1.000000000E+00 1.016890547E+05 3.003071594E+02
 -3.551858962E-01 -1.000000000E+00 1.016881406E+05 3.003063965E+02
 -3.512720168E-01 -1.000000000E+00 1.016872344E+05 3.003056335E+02
 -3.473581076E-01 -1.000000000E+00 1.016863281E+05 3.003048706E+02
 -3.434442282E-01 -1.000000000E+00 1.016850078E+05 3.003037415E+02
 -3.395303190E-01 -1.000000000E+00 1.016840703E+05 3.003029480E+02
 -3.356164396E-01 -1.000000000E+00 1.016831406E+05 3.003021545E+02
 -3.317025304E-01 -1.000000000E+00 1.016819922E+05 3.003011780E+02
 -3.277886510E-01 -1.000000000E+00 1.016806641E+05 3.003000793E+02
 -3.238747418E-01 -1.000000000E+00 1.016796719E+05 3.002992554E+02
 -3.199608624E-01 -1.000000000E+00 1.016786797E+05 3.002984314E+02
 -3.160469532E-01 -1.000000000E+00 1.016772422E+05 3.002972412E+02
 -3.121330738E-01 -1.000000000E+00 1.016759219E+05 3.002961731E+02
 -3.082191646E-01 -1.000000000E+00 1.016748516E+05 3.002953186E+02
 -3.043052852E-01 -1.000000000E+00 1.016736094E+05 3.002943115E+02
 -3.003913760E-01 -1.000000000E+00 1.016720625E+05 3.002930298E+02
 -2.964774966E-01 -1.000000000E+00 1.016708203E+05 3.002920227E+02
 -2.925635874E-01 -1.000000000E+00 1.016697188E+05 3.002911072E+02
 -2.886497080E-01 -1.000000000E+00 1.016682031E+05 3.002898560E+02
 -2.847357988E-01 -1.000000000E+00 1.016667109E+05 3.002885742E+02
 -2.808219194E-01 -1.000000000E+00 1.016655938E+05 3.002876587E+02
 -2.769080102E-01 -1.000000000E+00 1.016642891E+05 3.002865601E+02
 -2.729941308E-01 -1.000000000E+00 1.016627891E+05 3.002852783E+02
 -2.690802217E-01 -1.000000000E+00 1.016614297E+05 3.002840881E+02
 -2.651663423E-01 -1.000000000E+00 1.016602578E+05 3.002831116E+02
