TITLE     = "Fluent Common Fluid Files Data"
VARIABLES = "X"
"Y"
"Static Pressure"
"Static Temperature"
DATASETAUXDATA Common.DensityVar="5"
DATASETAUXDATA Common.PressureVar="11"
DATASETAUXDATA Common.TemperatureVar="13"
DATASETAUXDATA Common.TurbulentDynamicViscosityVar="9"
DATASETAUXDATA Common.TurbulentKineticEnergyVar="7"
DATASETAUXDATA Common.UVar="14"
DATASETAUXDATA Common.VectorVarsAreVelocity="True"
DATASETAUXDATA Common.ViscosityVar="8"
DATASETAUXDATA Common.VVar="15"
ZONE T="Rectangular zone"
 STRANDID=0, SOLUTIONTIME=3320
 I=512, J=512, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE SINGLE SINGLE )
 -5.000000000E-01 -1.000000000E+00 1.017523281E+05 3.003604431E+02
 -4.960860908E-01 -1.000000000E+00 1.017530625E+05 3.003610535E+02
 -4.921722114E-01 -1.000000000E+00 1.017537031E+05 3.003616028E+02
 -4.882583022E-01 -1.000000000E+00 1.017544062E+05 3.003621826E+02
 -4.843444228E-01 -1.000000000E+00 1.017551250E+05 3.003627625E+02
 -4.804305136E-01 -1.000000000E+00 1.017558281E+05 3.003633728E+02
 -4.765166342E-01 -1.000000000E+00 1.017565156E+05 3.003639221E+02
 -4.726027250E-01 -1.000000000E+00 1.017571094E+05 3.003644409E+02
 -4.686888456E-01 -1.000000000E+00 1.017577578E+05 3.003649597E+02
 -4.647749364E-01 -1.000000000E+00 1.017584531E+05 3.003655396E+02
 -4.608610570E-01 -1.000000000E+00 1.017591328E+05 3.003661194E+02
 -4.569471478E-01 -1.000000000E+00 1.017597344E+05 3.003666077E+02
 -4.530332685E-01 -1.000000000E+00 1.017602969E+05 3.003670959E+02
 -4.491193593E-01 -1.000000000E+00 1.017609141E+05 3.003676147E+02
 -4.452054799E-01 -1.000000000E+00 1.017615781E+05 3.003681641E+02
 -4.412915707E-01 -1.000000000E+00 1.017621953E+05 3.003686829E+02
 -4.373776913E-01 -1.000000000E+00 1.017627344E+05 3.003691406E+02
 -4.334637821E-01 -1.000000000E+00 1.017632812E+05 3.003695984E+02
 -4.295499027E-01 -1.000000000E+00 1.017638672E+05 3.003701172E+02
 -4.256359935E-01 -1.000000000E+00 1.017644922E+05 3.003706360E+02
 -4.217221141E-01 -1.000000000E+00 1.017650156E+05 3.003710938E+02
 -4.178082049E-01 -1.000000000E+00 1.017655312E+05 3.003715210E+02
 -4.138943255E-01 -1.000000000E+00 1.017660547E+05 3.003719788E+02
 -4.099804163E-01 -1.000000000E+00 1.017666250E+05 3.003724670E+02
 -4.060665369E-01 -1.000000000E+00 1.017671406E+05 3.003728943E+02
 -4.021526277E-01 -1.000000000E+00 1.017676328E+05 3.003733215E+02
 -3.982387483E-01 -1.000000000E+00 1.017681328E+05 3.003737488E+02
 -3.943248391E-01 -1.000000000E+00 1.017686250E+05 3.003741760E+02
 -3.904109597E-01 -1.000000000E+00 1.017691172E+05 3.003746033E+02
 -3.864970505E-01 -1.000000000E+00 1.017697266E+05 3.003751221E+02
 -3.825831711E-01 -1.000000000E+00 1.017703438E+05 3.003756409E+02
 -3.786692619E-01 -1.000000000E+00 1.017709688E+05 3.003761597E+02
 -3.747553825E-01 -1.000000000E+00 1.017715000E+05 3.003766174E+02
 -3.708414733E-01 -1.000000000E+00 1.017720859E+05 3.003771057E+02
 -3.669275939E-01 -1.000000000E+00 1.017726719E+05 3.003776245E+02
 -3.630136847E-01 -1.000000000E+00 1.017732656E+05 3.003781128E+02
 -3.590998054E-01 -1.000000000E+00 1.017736875E+05 3.003784790E+02
 -3.551858962E-01 -1.000000000E+00 1.017742500E+05 3.003789368E+02
 -3.512720168E-01 -1.000000000E+00 1.017748047E+05 3.003793945E+02
 -3.473581076E-01 -1.000000000E+00 1.017753516E+05 3.003798523E+02
 -3.434442282E-01 -1.000000000E+00 1.017757188E+05 3.003801575E+02
 -3.395303190E-01 -1.000000000E+00 1.017762266E+05 3.003805847E+02
 -3.356164396E-01 -1.000000000E+00 1.017767578E+05 3.003810425E+02
 -3.317025304E-01 -1.000000000E+00 1.017772266E+05 3.003814392E+02
 -3.277886510E-01 -1.000000000E+00 1.017775703E+05 3.003817444E+02
 -3.238747418E-01 -1.000000000E+00 1.017780312E+05 3.003821106E+02
 -3.199608624E-01 -1.000000000E+00 1.017785312E+05 3.003825378E+02
 -3.160469532E-01 -1.000000000E+00 1.017789141E+05 3.003828735E+02
 -3.121330738E-01 -1.000000000E+00 1.017792344E+05 3.003831177E+02
 -3.082191646E-01 -1.000000000E+00 1.017796641E+05 3.003834839E+02
 -3.043052852E-01 -1.000000000E+00 1.017801250E+05 3.003838806E+02
 -3.003913760E-01 -1.000000000E+00 1.017804219E+05 3.003841248E+02
 -2.964774966E-01 -1.000000000E+00 1.017807109E+05 3.003843689E+02
 -2.925635874E-01 -1.000000000E+00 1.017811250E+05 3.003847046E+02
 -2.886497080E-01 -1.000000000E+00 1.017814844E+05 3.003849792E+02
 -2.847357988E-01 -1.000000000E+00 1.017817500E+05 3.003852234E+02
 -2.808219194E-01 -1.000000000E+00 1.017820156E+05 3.003854370E+02
 -2.769080102E-01 -1.000000000E+00 1.017824219E+05 3.003857727E+02
 -2.729941308E-01 -1.000000000E+00 1.017826719E+05 3.003859863E+02
 -2.690802217E-01 -1.000000000E+00 1.017829062E+05 3.003861694E+02
 -2.651663423E-01 -1.000000000E+00 1.017831719E+05 3.003863831E+02
