TITLE     = "Fluent Common Fluid Files Data"
VARIABLES = "X"
"Y"
"Static Pressure"
"Static Temperature"
DATASETAUXDATA Common.DensityVar="5"
DATASETAUXDATA Common.PressureVar="11"
DATASETAUXDATA Common.TemperatureVar="13"
DATASETAUXDATA Common.TurbulentDynamicViscosityVar="9"
DATASETAUXDATA Common.TurbulentKineticEnergyVar="7"
DATASETAUXDATA Common.UVar="14"
DATASETAUXDATA Common.VectorVarsAreVelocity="True"
DATASETAUXDATA Common.ViscosityVar="8"
DATASETAUXDATA Common.VVar="15"
ZONE T="Rectangular zone"
 STRANDID=0, SOLUTIONTIME=4540
 I=512, J=512, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE SINGLE SINGLE )
 -5.000000000E-01 -1.000000000E+00 1.015972812E+05 3.002303772E+02
 -4.960860908E-01 -1.000000000E+00 1.015961641E+05 3.002294617E+02
 -4.921722114E-01 -1.000000000E+00 1.015950391E+05 3.002285156E+02
 -4.882583022E-01 -1.000000000E+00 1.015935469E+05 3.002272644E+02
 -4.843444228E-01 -1.000000000E+00 1.015921172E+05 3.002260742E+02
 -4.804305136E-01 -1.000000000E+00 1.015909453E+05 3.002250671E+02
 -4.765166342E-01 -1.000000000E+00 1.015897734E+05 3.002240906E+02
 -4.726027250E-01 -1.000000000E+00 1.015883438E+05 3.002229004E+02
 -4.686888456E-01 -1.000000000E+00 1.015867266E+05 3.002215271E+02
 -4.647749364E-01 -1.000000000E+00 1.015853281E+05 3.002203369E+02
 -4.608610570E-01 -1.000000000E+00 1.015841016E+05 3.002193298E+02
 -4.569471478E-01 -1.000000000E+00 1.015826953E+05 3.002181396E+02
 -4.530332685E-01 -1.000000000E+00 1.015810234E+05 3.002167358E+02
 -4.491193593E-01 -1.000000000E+00 1.015793516E+05 3.002153320E+02
 -4.452054799E-01 -1.000000000E+00 1.015780234E+05 3.002142334E+02
 -4.412915707E-01 -1.000000000E+00 1.015765938E+05 3.002130432E+02
 -4.373776913E-01 -1.000000000E+00 1.015748359E+05 3.002116394E+02
 -4.334637821E-01 -1.000000000E+00 1.015730781E+05 3.002102051E+02
 -4.295499027E-01 -1.000000000E+00 1.015714531E+05 3.002088928E+02
 -4.256359935E-01 -1.000000000E+00 1.015699688E+05 3.002076721E+02
 -4.217221141E-01 -1.000000000E+00 1.015681484E+05 3.002062073E+02
 -4.178082049E-01 -1.000000000E+00 1.015663281E+05 3.002047119E+02
 -4.138943255E-01 -1.000000000E+00 1.015645078E+05 3.002032471E+02
 -4.099804163E-01 -1.000000000E+00 1.015629062E+05 3.002019043E+02
 -4.060665369E-01 -1.000000000E+00 1.015610703E+05 3.002003784E+02
 -4.021526277E-01 -1.000000000E+00 1.015592422E+05 3.001988525E+02
 -3.982387483E-01 -1.000000000E+00 1.015574141E+05 3.001973267E+02
 -3.943248391E-01 -1.000000000E+00 1.015555625E+05 3.001957703E+02
 -3.904109597E-01 -1.000000000E+00 1.015536797E+05 3.001941833E+02
 -3.864970505E-01 -1.000000000E+00 1.015517891E+05 3.001925964E+02
 -3.825831711E-01 -1.000000000E+00 1.015499062E+05 3.001910095E+02
 -3.786692619E-01 -1.000000000E+00 1.015477969E+05 3.001892395E+02
 -3.747553825E-01 -1.000000000E+00 1.015459141E+05 3.001876221E+02
 -3.708414733E-01 -1.000000000E+00 1.015440391E+05 3.001860352E+02
 -3.669275939E-01 -1.000000000E+00 1.015420312E+05 3.001843262E+02
 -3.630136847E-01 -1.000000000E+00 1.015397812E+05 3.001824036E+02
 -3.590998054E-01 -1.000000000E+00 1.015378828E+05 3.001807556E+02
 -3.551858962E-01 -1.000000000E+00 1.015359922E+05 3.001791382E+02
 -3.512720168E-01 -1.000000000E+00 1.015337500E+05 3.001772156E+02
 -3.473581076E-01 -1.000000000E+00 1.015314062E+05 3.001752625E+02
 -3.434442282E-01 -1.000000000E+00 1.015294844E+05 3.001736145E+02
 -3.395303190E-01 -1.000000000E+00 1.015275625E+05 3.001719666E+02
 -3.356164396E-01 -1.000000000E+00 1.015249766E+05 3.001698303E+02
 -3.317025304E-01 -1.000000000E+00 1.015226172E+05 3.001678772E+02
 -3.277886510E-01 -1.000000000E+00 1.015206641E+05 3.001662292E+02
 -3.238747418E-01 -1.000000000E+00 1.015184766E+05 3.001643982E+02
 -3.199608624E-01 -1.000000000E+00 1.015157188E+05 3.001621094E+02
 -3.160469532E-01 -1.000000000E+00 1.015134453E+05 3.001601868E+02
 -3.121330738E-01 -1.000000000E+00 1.015114609E+05 3.001585083E+02
 -3.082191646E-01 -1.000000000E+00 1.015088359E+05 3.001563110E+02
 -3.043052852E-01 -1.000000000E+00 1.015060391E+05 3.001539612E+02
 -3.003913760E-01 -1.000000000E+00 1.015039062E+05 3.001521301E+02
 -2.964774966E-01 -1.000000000E+00 1.015016094E+05 3.001501770E+02
 -2.925635874E-01 -1.000000000E+00 1.014987656E+05 3.001477661E+02
 -2.886497080E-01 -1.000000000E+00 1.014960703E+05 3.001455078E+02
 -2.847357988E-01 -1.000000000E+00 1.014940000E+05 3.001437378E+02
 -2.808219194E-01 -1.000000000E+00 1.014911562E+05 3.001413269E+02
 -2.769080102E-01 -1.000000000E+00 1.014883125E+05 3.001389160E+02
 -2.729941308E-01 -1.000000000E+00 1.014858594E+05 3.001368408E+02
 -2.690802217E-01 -1.000000000E+00 1.014832578E+05 3.001346436E+02
 -2.651663423E-01 -1.000000000E+00 1.014803594E+05 3.001321716E+02
