TITLE     = "Fluent Common Fluid Files Data"
VARIABLES = "X"
"Y"
"Static Pressure"
"Static Temperature"
DATASETAUXDATA Common.DensityVar="5"
DATASETAUXDATA Common.PressureVar="11"
DATASETAUXDATA Common.TemperatureVar="13"
DATASETAUXDATA Common.TurbulentDynamicViscosityVar="9"
DATASETAUXDATA Common.TurbulentKineticEnergyVar="7"
DATASETAUXDATA Common.UVar="14"
DATASETAUXDATA Common.VectorVarsAreVelocity="True"
DATASETAUXDATA Common.ViscosityVar="8"
DATASETAUXDATA Common.VVar="15"
ZONE T="Rectangular zone"
 STRANDID=0, SOLUTIONTIME=3625
 I=512, J=512, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE SINGLE SINGLE )
 -5.000000000E-01 -1.000000000E+00 1.017301641E+05 3.003416748E+02
 -4.960860908E-01 -1.000000000E+00 1.017305312E+05 3.003419800E+02
 -4.921722114E-01 -1.000000000E+00 1.017308750E+05 3.003422546E+02
 -4.882583022E-01 -1.000000000E+00 1.017310781E+05 3.003424072E+02
 -4.843444228E-01 -1.000000000E+00 1.017313516E+05 3.003426514E+02
 -4.804305136E-01 -1.000000000E+00 1.017316953E+05 3.003429260E+02
 -4.765166342E-01 -1.000000000E+00 1.017320391E+05 3.003432312E+02
 -4.726027250E-01 -1.000000000E+00 1.017322734E+05 3.003434143E+02
 -4.686888456E-01 -1.000000000E+00 1.017324609E+05 3.003435669E+02
 -4.647749364E-01 -1.000000000E+00 1.017326953E+05 3.003437500E+02
 -4.608610570E-01 -1.000000000E+00 1.017330156E+05 3.003440247E+02
 -4.569471478E-01 -1.000000000E+00 1.017332812E+05 3.003442383E+02
 -4.530332685E-01 -1.000000000E+00 1.017334375E+05 3.003443604E+02
 -4.491193593E-01 -1.000000000E+00 1.017336016E+05 3.003445129E+02
 -4.452054799E-01 -1.000000000E+00 1.017338203E+05 3.003446960E+02
 -4.412915707E-01 -1.000000000E+00 1.017341016E+05 3.003449402E+02
 -4.373776913E-01 -1.000000000E+00 1.017342422E+05 3.003450623E+02
 -4.334637821E-01 -1.000000000E+00 1.017343828E+05 3.003451538E+02
 -4.295499027E-01 -1.000000000E+00 1.017345234E+05 3.003452759E+02
 -4.256359935E-01 -1.000000000E+00 1.017347344E+05 3.003454590E+02
 -4.217221141E-01 -1.000000000E+00 1.017348672E+05 3.003455811E+02
 -4.178082049E-01 -1.000000000E+00 1.017349844E+05 3.003457031E+02
 -4.138943255E-01 -1.000000000E+00 1.017350938E+05 3.003457947E+02
 -4.099804163E-01 -1.000000000E+00 1.017352109E+05 3.003458862E+02
 -4.060665369E-01 -1.000000000E+00 1.017353359E+05 3.003460083E+02
 -4.021526277E-01 -1.000000000E+00 1.017354922E+05 3.003461609E+02
 -3.982387483E-01 -1.000000000E+00 1.017356406E+05 3.003463135E+02
 -3.943248391E-01 -1.000000000E+00 1.017357969E+05 3.003464661E+02
 -3.904109597E-01 -1.000000000E+00 1.017358281E+05 3.003465271E+02
 -3.864970505E-01 -1.000000000E+00 1.017359453E+05 3.003466492E+02
 -3.825831711E-01 -1.000000000E+00 1.017360625E+05 3.003467712E+02
 -3.786692619E-01 -1.000000000E+00 1.017361797E+05 3.003468933E+02
 -3.747553825E-01 -1.000000000E+00 1.017360781E+05 3.003468018E+02
 -3.708414733E-01 -1.000000000E+00 1.017361562E+05 3.003468933E+02
 -3.669275939E-01 -1.000000000E+00 1.017362422E+05 3.003469849E+02
 -3.630136847E-01 -1.000000000E+00 1.017362891E+05 3.003470459E+02
 -3.590998054E-01 -1.000000000E+00 1.017361016E+05 3.003468933E+02
 -3.551858962E-01 -1.000000000E+00 1.017361406E+05 3.003469543E+02
 -3.512720168E-01 -1.000000000E+00 1.017361953E+05 3.003470154E+02
 -3.473581076E-01 -1.000000000E+00 1.017361328E+05 3.003469849E+02
 -3.434442282E-01 -1.000000000E+00 1.017359141E+05 3.003468018E+02
 -3.395303190E-01 -1.000000000E+00 1.017358984E+05 3.003467712E+02
 -3.356164396E-01 -1.000000000E+00 1.017359219E+05 3.003468018E+02
 -3.317025304E-01 -1.000000000E+00 1.017357500E+05 3.003466797E+02
 -3.277886510E-01 -1.000000000E+00 1.017355078E+05 3.003464661E+02
 -3.238747418E-01 -1.000000000E+00 1.017354609E+05 3.003464355E+02
 -3.199608624E-01 -1.000000000E+00 1.017354141E+05 3.003464050E+02
 -3.160469532E-01 -1.000000000E+00 1.017351484E+05 3.003461609E+02
 -3.121330738E-01 -1.000000000E+00 1.017348906E+05 3.003459473E+02
 -3.082191646E-01 -1.000000000E+00 1.017348359E+05 3.003459167E+02
 -3.043052852E-01 -1.000000000E+00 1.017346562E+05 3.003457642E+02
 -3.003913760E-01 -1.000000000E+00 1.017343750E+05 3.003455200E+02
 -2.964774966E-01 -1.000000000E+00 1.017341016E+05 3.003453064E+02
 -2.925635874E-01 -1.000000000E+00 1.017340156E+05 3.003452454E+02
 -2.886497080E-01 -1.000000000E+00 1.017337188E+05 3.003450012E+02
 -2.847357988E-01 -1.000000000E+00 1.017334219E+05 3.003447571E+02
 -2.808219194E-01 -1.000000000E+00 1.017331797E+05 3.003445740E+02
 -2.769080102E-01 -1.000000000E+00 1.017329375E+05 3.003443604E+02
 -2.729941308E-01 -1.000000000E+00 1.017326250E+05 3.003441162E+02
 -2.690802217E-01 -1.000000000E+00 1.017323125E+05 3.003438416E+02
 -2.651663423E-01 -1.000000000E+00 1.017320312E+05 3.003436279E+02
