TITLE     = "Fluent Common Fluid Files Data"
VARIABLES = "X"
"Y"
"Static Pressure"
"Static Temperature"
DATASETAUXDATA Common.DensityVar="5"
DATASETAUXDATA Common.PressureVar="11"
DATASETAUXDATA Common.TemperatureVar="13"
DATASETAUXDATA Common.TurbulentDynamicViscosityVar="9"
DATASETAUXDATA Common.TurbulentKineticEnergyVar="7"
DATASETAUXDATA Common.UVar="14"
DATASETAUXDATA Common.VectorVarsAreVelocity="True"
DATASETAUXDATA Common.ViscosityVar="8"
DATASETAUXDATA Common.VVar="15"
ZONE T="Rectangular zone"
 STRANDID=0, SOLUTIONTIME=3740
 I=512, J=512, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE SINGLE SINGLE )
 -5.000000000E-01 -1.000000000E+00 1.015821953E+05 3.002174072E+02
 -4.960860908E-01 -1.000000000E+00 1.015810859E+05 3.002164917E+02
 -4.921722114E-01 -1.000000000E+00 1.015799531E+05 3.002155457E+02
 -4.882583022E-01 -1.000000000E+00 1.015785156E+05 3.002143555E+02
 -4.843444228E-01 -1.000000000E+00 1.015769844E+05 3.002130737E+02
 -4.804305136E-01 -1.000000000E+00 1.015755938E+05 3.002118835E+02
 -4.765166342E-01 -1.000000000E+00 1.015744141E+05 3.002109070E+02
 -4.726027250E-01 -1.000000000E+00 1.015730703E+05 3.002097778E+02
 -4.686888456E-01 -1.000000000E+00 1.015714609E+05 3.002084045E+02
 -4.647749364E-01 -1.000000000E+00 1.015698516E+05 3.002070312E+02
 -4.608610570E-01 -1.000000000E+00 1.015684531E+05 3.002058411E+02
 -4.569471478E-01 -1.000000000E+00 1.015671484E+05 3.002047424E+02
 -4.530332685E-01 -1.000000000E+00 1.015654609E+05 3.002033081E+02
 -4.491193593E-01 -1.000000000E+00 1.015637812E+05 3.002019043E+02
 -4.452054799E-01 -1.000000000E+00 1.015620938E+05 3.002004700E+02
 -4.412915707E-01 -1.000000000E+00 1.015607344E+05 3.001993408E+02
 -4.373776913E-01 -1.000000000E+00 1.015589453E+05 3.001978760E+02
 -4.334637821E-01 -1.000000000E+00 1.015571562E+05 3.001964417E+02
 -4.295499027E-01 -1.000000000E+00 1.015553672E+05 3.001949768E+02
 -4.256359935E-01 -1.000000000E+00 1.015537031E+05 3.001936340E+02
 -4.217221141E-01 -1.000000000E+00 1.015518281E+05 3.001921082E+02
 -4.178082049E-01 -1.000000000E+00 1.015499531E+05 3.001906128E+02
 -4.138943255E-01 -1.000000000E+00 1.015480078E+05 3.001890259E+02
 -4.099804163E-01 -1.000000000E+00 1.015459453E+05 3.001873474E+02
 -4.060665369E-01 -1.000000000E+00 1.015439453E+05 3.001856689E+02
 -4.021526277E-01 -1.000000000E+00 1.015419453E+05 3.001840210E+02
 -3.982387483E-01 -1.000000000E+00 1.015399453E+05 3.001823425E+02
 -3.943248391E-01 -1.000000000E+00 1.015377109E+05 3.001804504E+02
 -3.904109597E-01 -1.000000000E+00 1.015357266E+05 3.001787720E+02
 -3.864970505E-01 -1.000000000E+00 1.015337500E+05 3.001770935E+02
 -3.825831711E-01 -1.000000000E+00 1.015316562E+05 3.001753235E+02
 -3.786692619E-01 -1.000000000E+00 1.015293047E+05 3.001733398E+02
 -3.747553825E-01 -1.000000000E+00 1.015273203E+05 3.001716614E+02
 -3.708414733E-01 -1.000000000E+00 1.015253359E+05 3.001699829E+02
 -3.669275939E-01 -1.000000000E+00 1.015230547E+05 3.001680908E+02
 -3.630136847E-01 -1.000000000E+00 1.015206094E+05 3.001660156E+02
 -3.590998054E-01 -1.000000000E+00 1.015186250E+05 3.001642761E+02
 -3.551858962E-01 -1.000000000E+00 1.015166328E+05 3.001625671E+02
 -3.512720168E-01 -1.000000000E+00 1.015141562E+05 3.001604614E+02
 -3.473581076E-01 -1.000000000E+00 1.015116250E+05 3.001582947E+02
 -3.434442282E-01 -1.000000000E+00 1.015096094E+05 3.001565552E+02
 -3.395303190E-01 -1.000000000E+00 1.015074766E+05 3.001547241E+02
 -3.356164396E-01 -1.000000000E+00 1.015048828E+05 3.001525269E+02
 -3.317025304E-01 -1.000000000E+00 1.015022344E+05 3.001503296E+02
 -3.277886510E-01 -1.000000000E+00 1.015001953E+05 3.001486206E+02
 -3.238747418E-01 -1.000000000E+00 1.014977969E+05 3.001466370E+02
 -3.199608624E-01 -1.000000000E+00 1.014950703E+05 3.001443787E+02
 -3.160469532E-01 -1.000000000E+00 1.014924141E+05 3.001421814E+02
 -3.121330738E-01 -1.000000000E+00 1.014903672E+05 3.001404419E+02
 -3.082191646E-01 -1.000000000E+00 1.014876094E+05 3.001381531E+02
 -3.043052852E-01 -1.000000000E+00 1.014847969E+05 3.001358337E+02
 -3.003913760E-01 -1.000000000E+00 1.014822656E+05 3.001336975E+02
 -2.964774966E-01 -1.000000000E+00 1.014798594E+05 3.001316528E+02
 -2.925635874E-01 -1.000000000E+00 1.014769844E+05 3.001292419E+02
 -2.886497080E-01 -1.000000000E+00 1.014741328E+05 3.001268311E+02
 -2.847357988E-01 -1.000000000E+00 1.014717734E+05 3.001248474E+02
 -2.808219194E-01 -1.000000000E+00 1.014688438E+05 3.001223755E+02
 -2.769080102E-01 -1.000000000E+00 1.014659297E+05 3.001199341E+02
 -2.729941308E-01 -1.000000000E+00 1.014630859E+05 3.001175232E+02
 -2.690802217E-01 -1.000000000E+00 1.014603672E+05 3.001152344E+02
 -2.651663423E-01 -1.000000000E+00 1.014574062E+05 3.001127319E+02
