TITLE     = "Fluent Common Fluid Files Data"
VARIABLES = "X"
"Y"
"Static Pressure"
"Static Temperature"
DATASETAUXDATA Common.DensityVar="5"
DATASETAUXDATA Common.PressureVar="11"
DATASETAUXDATA Common.TemperatureVar="13"
DATASETAUXDATA Common.TurbulentDynamicViscosityVar="9"
DATASETAUXDATA Common.TurbulentKineticEnergyVar="7"
DATASETAUXDATA Common.UVar="14"
DATASETAUXDATA Common.VectorVarsAreVelocity="True"
DATASETAUXDATA Common.ViscosityVar="8"
DATASETAUXDATA Common.VVar="15"
ZONE T="Rectangular zone"
 STRANDID=0, SOLUTIONTIME=5630
 I=512, J=512, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE SINGLE SINGLE )
 -5.000000000E-01 -1.000000000E+00 1.017477891E+05 3.003568726E+02
 -4.960860908E-01 -1.000000000E+00 1.017477969E+05 3.003568726E+02
 -4.921722114E-01 -1.000000000E+00 1.017479375E+05 3.003569946E+02
 -4.882583022E-01 -1.000000000E+00 1.017480703E+05 3.003571167E+02
 -4.843444228E-01 -1.000000000E+00 1.017481797E+05 3.003572083E+02
 -4.804305136E-01 -1.000000000E+00 1.017481250E+05 3.003571777E+02
 -4.765166342E-01 -1.000000000E+00 1.017481094E+05 3.003571472E+02
 -4.726027250E-01 -1.000000000E+00 1.017482188E+05 3.003572693E+02
 -4.686888456E-01 -1.000000000E+00 1.017483203E+05 3.003573303E+02
 -4.647749364E-01 -1.000000000E+00 1.017482734E+05 3.003572998E+02
 -4.608610570E-01 -1.000000000E+00 1.017481953E+05 3.003572388E+02
 -4.569471478E-01 -1.000000000E+00 1.017481719E+05 3.003572083E+02
 -4.530332685E-01 -1.000000000E+00 1.017482578E+05 3.003572693E+02
 -4.491193593E-01 -1.000000000E+00 1.017482266E+05 3.003572388E+02
 -4.452054799E-01 -1.000000000E+00 1.017481172E+05 3.003571472E+02
 -4.412915707E-01 -1.000000000E+00 1.017480078E+05 3.003570557E+02
 -4.373776913E-01 -1.000000000E+00 1.017480000E+05 3.003570557E+02
 -4.334637821E-01 -1.000000000E+00 1.017479688E+05 3.003570251E+02
 -4.295499027E-01 -1.000000000E+00 1.017478281E+05 3.003569031E+02
 -4.256359935E-01 -1.000000000E+00 1.017476875E+05 3.003567810E+02
 -4.217221141E-01 -1.000000000E+00 1.017475547E+05 3.003566895E+02
 -4.178082049E-01 -1.000000000E+00 1.017475000E+05 3.003566589E+02
 -4.138943255E-01 -1.000000000E+00 1.017473359E+05 3.003565369E+02
 -4.099804163E-01 -1.000000000E+00 1.017471719E+05 3.003563843E+02
 -4.060665369E-01 -1.000000000E+00 1.017470078E+05 3.003562622E+02
 -4.021526277E-01 -1.000000000E+00 1.017468438E+05 3.003561401E+02
 -3.982387483E-01 -1.000000000E+00 1.017466406E+05 3.003559875E+02
 -3.943248391E-01 -1.000000000E+00 1.017464453E+05 3.003558655E+02
 -3.904109597E-01 -1.000000000E+00 1.017462500E+05 3.003557129E+02
 -3.864970505E-01 -1.000000000E+00 1.017459219E+05 3.003554688E+02
 -3.825831711E-01 -1.000000000E+00 1.017456875E+05 3.003552856E+02
 -3.786692619E-01 -1.000000000E+00 1.017454531E+05 3.003551025E+02
 -3.747553825E-01 -1.000000000E+00 1.017452188E+05 3.003549500E+02
 -3.708414733E-01 -1.000000000E+00 1.017447266E+05 3.003545532E+02
 -3.669275939E-01 -1.000000000E+00 1.017444609E+05 3.003543396E+02
 -3.630136847E-01 -1.000000000E+00 1.017441953E+05 3.003541260E+02
 -3.590998054E-01 -1.000000000E+00 1.017439062E+05 3.003539124E+02
 -3.551858962E-01 -1.000000000E+00 1.017433047E+05 3.003534241E+02
 -3.512720168E-01 -1.000000000E+00 1.017429844E+05 3.003531799E+02
 -3.473581076E-01 -1.000000000E+00 1.017426875E+05 3.003529358E+02
 -3.434442282E-01 -1.000000000E+00 1.017422656E+05 3.003526001E+02
 -3.395303190E-01 -1.000000000E+00 1.017416484E+05 3.003520813E+02
 -3.356164396E-01 -1.000000000E+00 1.017413047E+05 3.003518372E+02
 -3.317025304E-01 -1.000000000E+00 1.017409688E+05 3.003515625E+02
 -3.277886510E-01 -1.000000000E+00 1.017403984E+05 3.003511047E+02
 -3.238747418E-01 -1.000000000E+00 1.017397812E+05 3.003505859E+02
 -3.199608624E-01 -1.000000000E+00 1.017394297E+05 3.003503113E+02
 -3.160469532E-01 -1.000000000E+00 1.017390000E+05 3.003499451E+02
 -3.121330738E-01 -1.000000000E+00 1.017383594E+05 3.003494263E+02
 -3.082191646E-01 -1.000000000E+00 1.017377656E+05 3.003489075E+02
 -3.043052852E-01 -1.000000000E+00 1.017373828E+05 3.003486328E+02
 -3.003913760E-01 -1.000000000E+00 1.017367969E+05 3.003481445E+02
 -2.964774966E-01 -1.000000000E+00 1.017361406E+05 3.003475952E+02
 -2.925635874E-01 -1.000000000E+00 1.017355938E+05 3.003471375E+02
 -2.886497080E-01 -1.000000000E+00 1.017351094E+05 3.003467407E+02
 -2.847357988E-01 -1.000000000E+00 1.017344375E+05 3.003461609E+02
 -2.808219194E-01 -1.000000000E+00 1.017337656E+05 3.003456116E+02
 -2.769080102E-01 -1.000000000E+00 1.017332656E+05 3.003452148E+02
 -2.729941308E-01 -1.000000000E+00 1.017325859E+05 3.003446655E+02
 -2.690802217E-01 -1.000000000E+00 1.017318828E+05 3.003440857E+02
 -2.651663423E-01 -1.000000000E+00 1.017311797E+05 3.003435059E+02
