TITLE     = "Fluent Common Fluid Files Data"
VARIABLES = "X"
"Y"
"Static Pressure"
"Static Temperature"
DATASETAUXDATA Common.DensityVar="5"
DATASETAUXDATA Common.PressureVar="11"
DATASETAUXDATA Common.TemperatureVar="13"
DATASETAUXDATA Common.TurbulentDynamicViscosityVar="9"
DATASETAUXDATA Common.TurbulentKineticEnergyVar="7"
DATASETAUXDATA Common.UVar="14"
DATASETAUXDATA Common.VectorVarsAreVelocity="True"
DATASETAUXDATA Common.ViscosityVar="8"
DATASETAUXDATA Common.VVar="15"
ZONE T="Rectangular zone"
 STRANDID=0, SOLUTIONTIME=6630
 I=512, J=512, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE SINGLE SINGLE )
 -5.000000000E-01 -1.000000000E+00 1.017749219E+05 3.003798828E+02
 -4.960860908E-01 -1.000000000E+00 1.017751406E+05 3.003800659E+02
 -4.921722114E-01 -1.000000000E+00 1.017752188E+05 3.003801270E+02
 -4.882583022E-01 -1.000000000E+00 1.017754297E+05 3.003803101E+02
 -4.843444228E-01 -1.000000000E+00 1.017756641E+05 3.003804932E+02
 -4.804305136E-01 -1.000000000E+00 1.017758828E+05 3.003807068E+02
 -4.765166342E-01 -1.000000000E+00 1.017759609E+05 3.003807678E+02
 -4.726027250E-01 -1.000000000E+00 1.017760078E+05 3.003808289E+02
 -4.686888456E-01 -1.000000000E+00 1.017762031E+05 3.003809814E+02
 -4.647749364E-01 -1.000000000E+00 1.017763984E+05 3.003811646E+02
 -4.608610570E-01 -1.000000000E+00 1.017765000E+05 3.003812561E+02
 -4.569471478E-01 -1.000000000E+00 1.017765156E+05 3.003812866E+02
 -4.530332685E-01 -1.000000000E+00 1.017765469E+05 3.003813171E+02
 -4.491193593E-01 -1.000000000E+00 1.017767266E+05 3.003814697E+02
 -4.452054799E-01 -1.000000000E+00 1.017768281E+05 3.003815613E+02
 -4.412915707E-01 -1.000000000E+00 1.017768125E+05 3.003815613E+02
 -4.373776913E-01 -1.000000000E+00 1.017768047E+05 3.003815613E+02
 -4.334637821E-01 -1.000000000E+00 1.017768594E+05 3.003816223E+02
 -4.295499027E-01 -1.000000000E+00 1.017769531E+05 3.003817139E+02
 -4.256359935E-01 -1.000000000E+00 1.017769141E+05 3.003816833E+02
 -4.217221141E-01 -1.000000000E+00 1.017768750E+05 3.003816528E+02
 -4.178082049E-01 -1.000000000E+00 1.017768438E+05 3.003816528E+02
 -4.138943255E-01 -1.000000000E+00 1.017768828E+05 3.003816833E+02
 -4.099804163E-01 -1.000000000E+00 1.017768203E+05 3.003816528E+02
 -4.060665369E-01 -1.000000000E+00 1.017767578E+05 3.003815918E+02
 -4.021526277E-01 -1.000000000E+00 1.017766953E+05 3.003815613E+02
 -3.982387483E-01 -1.000000000E+00 1.017766250E+05 3.003815308E+02
 -3.943248391E-01 -1.000000000E+00 1.017765312E+05 3.003814697E+02
 -3.904109597E-01 -1.000000000E+00 1.017764453E+05 3.003814087E+02
 -3.864970505E-01 -1.000000000E+00 1.017763516E+05 3.003813477E+02
 -3.825831711E-01 -1.000000000E+00 1.017761406E+05 3.003811951E+02
 -3.786692619E-01 -1.000000000E+00 1.017760234E+05 3.003811035E+02
 -3.747553825E-01 -1.000000000E+00 1.017758984E+05 3.003810120E+02
 -3.708414733E-01 -1.000000000E+00 1.017757812E+05 3.003809509E+02
 -3.669275939E-01 -1.000000000E+00 1.017754375E+05 3.003806763E+02
 -3.630136847E-01 -1.000000000E+00 1.017752812E+05 3.003805542E+02
 -3.590998054E-01 -1.000000000E+00 1.017751328E+05 3.003804626E+02
 -3.551858962E-01 -1.000000000E+00 1.017749688E+05 3.003803406E+02
 -3.512720168E-01 -1.000000000E+00 1.017745312E+05 3.003799744E+02
 -3.473581076E-01 -1.000000000E+00 1.017743359E+05 3.003798218E+02
 -3.434442282E-01 -1.000000000E+00 1.017741562E+05 3.003796997E+02
 -3.395303190E-01 -1.000000000E+00 1.017738672E+05 3.003794861E+02
 -3.356164396E-01 -1.000000000E+00 1.017734062E+05 3.003790894E+02
 -3.317025304E-01 -1.000000000E+00 1.017731953E+05 3.003789368E+02
 -3.277886510E-01 -1.000000000E+00 1.017729922E+05 3.003787842E+02
 -3.238747418E-01 -1.000000000E+00 1.017725625E+05 3.003784180E+02
 -3.199608624E-01 -1.000000000E+00 1.017721016E+05 3.003780518E+02
 -3.160469532E-01 -1.000000000E+00 1.017718750E+05 3.003778687E+02
 -3.121330738E-01 -1.000000000E+00 1.017715625E+05 3.003776245E+02
 -3.082191646E-01 -1.000000000E+00 1.017710703E+05 3.003772278E+02
 -3.043052852E-01 -1.000000000E+00 1.017706406E+05 3.003768616E+02
 -3.003913760E-01 -1.000000000E+00 1.017703828E+05 3.003766785E+02
 -2.964774966E-01 -1.000000000E+00 1.017699141E+05 3.003762817E+02
 -2.925635874E-01 -1.000000000E+00 1.017694141E+05 3.003758545E+02
 -2.886497080E-01 -1.000000000E+00 1.017690234E+05 3.003755188E+02
 -2.847357988E-01 -1.000000000E+00 1.017686484E+05 3.003752136E+02
 -2.808219194E-01 -1.000000000E+00 1.017681250E+05 3.003747559E+02
 -2.769080102E-01 -1.000000000E+00 1.017675938E+05 3.003743286E+02
 -2.729941308E-01 -1.000000000E+00 1.017672422E+05 3.003740540E+02
 -2.690802217E-01 -1.000000000E+00 1.017666953E+05 3.003735962E+02
 -2.651663423E-01 -1.000000000E+00 1.017661328E+05 3.003731384E+02
