TITLE     = "Fluent Common Fluid Files Data"
VARIABLES = "X"
"Y"
"Static Pressure"
"Static Temperature"
DATASETAUXDATA Common.DensityVar="5"
DATASETAUXDATA Common.PressureVar="11"
DATASETAUXDATA Common.TemperatureVar="13"
DATASETAUXDATA Common.TurbulentDynamicViscosityVar="9"
DATASETAUXDATA Common.TurbulentKineticEnergyVar="7"
DATASETAUXDATA Common.UVar="14"
DATASETAUXDATA Common.VectorVarsAreVelocity="True"
DATASETAUXDATA Common.ViscosityVar="8"
DATASETAUXDATA Common.VVar="15"
ZONE T="Rectangular zone"
 STRANDID=0, SOLUTIONTIME=4325
 I=512, J=512, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE SINGLE SINGLE )
 -5.000000000E-01 -1.000000000E+00 1.017732734E+05 3.003781128E+02
 -4.960860908E-01 -1.000000000E+00 1.017738047E+05 3.003785706E+02
 -4.921722114E-01 -1.000000000E+00 1.017743281E+05 3.003789978E+02
 -4.882583022E-01 -1.000000000E+00 1.017748438E+05 3.003794250E+02
 -4.843444228E-01 -1.000000000E+00 1.017752969E+05 3.003797913E+02
 -4.804305136E-01 -1.000000000E+00 1.017757266E+05 3.003801575E+02
 -4.765166342E-01 -1.000000000E+00 1.017762266E+05 3.003805847E+02
 -4.726027250E-01 -1.000000000E+00 1.017767188E+05 3.003810120E+02
 -4.686888456E-01 -1.000000000E+00 1.017772031E+05 3.003814087E+02
 -4.647749364E-01 -1.000000000E+00 1.017775469E+05 3.003817139E+02
 -4.608610570E-01 -1.000000000E+00 1.017779453E+05 3.003820496E+02
 -4.569471478E-01 -1.000000000E+00 1.017784219E+05 3.003824463E+02
 -4.530332685E-01 -1.000000000E+00 1.017788828E+05 3.003828430E+02
 -4.491193593E-01 -1.000000000E+00 1.017792422E+05 3.003831482E+02
 -4.452054799E-01 -1.000000000E+00 1.017795625E+05 3.003834229E+02
 -4.412915707E-01 -1.000000000E+00 1.017799453E+05 3.003837280E+02
 -4.373776913E-01 -1.000000000E+00 1.017803828E+05 3.003840942E+02
 -4.334637821E-01 -1.000000000E+00 1.017807578E+05 3.003843994E+02
 -4.295499027E-01 -1.000000000E+00 1.017810391E+05 3.003846741E+02
 -4.256359935E-01 -1.000000000E+00 1.017813281E+05 3.003849182E+02
 -4.217221141E-01 -1.000000000E+00 1.017817109E+05 3.003852234E+02
 -4.178082049E-01 -1.000000000E+00 1.017820781E+05 3.003855286E+02
 -4.138943255E-01 -1.000000000E+00 1.017823438E+05 3.003857727E+02
 -4.099804163E-01 -1.000000000E+00 1.017826016E+05 3.003859863E+02
 -4.060665369E-01 -1.000000000E+00 1.017828750E+05 3.003862305E+02
 -4.021526277E-01 -1.000000000E+00 1.017832266E+05 3.003865356E+02
 -3.982387483E-01 -1.000000000E+00 1.017834609E+05 3.003867493E+02
 -3.943248391E-01 -1.000000000E+00 1.017836953E+05 3.003869629E+02
 -3.904109597E-01 -1.000000000E+00 1.017839219E+05 3.003871765E+02
 -3.864970505E-01 -1.000000000E+00 1.017841875E+05 3.003873901E+02
 -3.825831711E-01 -1.000000000E+00 1.017843906E+05 3.003875732E+02
 -3.786692619E-01 -1.000000000E+00 1.017846328E+05 3.003877869E+02
 -3.747553825E-01 -1.000000000E+00 1.017849297E+05 3.003880310E+02
 -3.708414733E-01 -1.000000000E+00 1.017851719E+05 3.003882446E+02
 -3.669275939E-01 -1.000000000E+00 1.017854453E+05 3.003884888E+02
 -3.630136847E-01 -1.000000000E+00 1.017857109E+05 3.003887329E+02
 -3.590998054E-01 -1.000000000E+00 1.017859844E+05 3.003889465E+02
 -3.551858962E-01 -1.000000000E+00 1.017861094E+05 3.003890686E+02
 -3.512720168E-01 -1.000000000E+00 1.017863281E+05 3.003892822E+02
 -3.473581076E-01 -1.000000000E+00 1.017865703E+05 3.003894653E+02
 -3.434442282E-01 -1.000000000E+00 1.017868047E+05 3.003896790E+02
 -3.395303190E-01 -1.000000000E+00 1.017868281E+05 3.003897095E+02
 -3.356164396E-01 -1.000000000E+00 1.017870000E+05 3.003898926E+02
 -3.317025304E-01 -1.000000000E+00 1.017872031E+05 3.003900757E+02
 -3.277886510E-01 -1.000000000E+00 1.017873828E+05 3.003902283E+02
 -3.238747418E-01 -1.000000000E+00 1.017873359E+05 3.003901978E+02
 -3.199608624E-01 -1.000000000E+00 1.017874766E+05 3.003903198E+02
 -3.160469532E-01 -1.000000000E+00 1.017876484E+05 3.003904724E+02
 -3.121330738E-01 -1.000000000E+00 1.017877031E+05 3.003905334E+02
 -3.082191646E-01 -1.000000000E+00 1.017876406E+05 3.003904724E+02
 -3.043052852E-01 -1.000000000E+00 1.017877578E+05 3.003905640E+02
 -3.003913760E-01 -1.000000000E+00 1.017879062E+05 3.003906860E+02
 -2.964774966E-01 -1.000000000E+00 1.017878281E+05 3.003906250E+02
 -2.925635874E-01 -1.000000000E+00 1.017877422E+05 3.003905640E+02
 -2.886497080E-01 -1.000000000E+00 1.017878594E+05 3.003906555E+02
 -2.847357988E-01 -1.000000000E+00 1.017878750E+05 3.003906860E+02
 -2.808219194E-01 -1.000000000E+00 1.017877578E+05 3.003905640E+02
 -2.769080102E-01 -1.000000000E+00 1.017876875E+05 3.003905334E+02
 -2.729941308E-01 -1.000000000E+00 1.017877812E+05 3.003905945E+02
 -2.690802217E-01 -1.000000000E+00 1.017876406E+05 3.003904724E+02
 -2.651663423E-01 -1.000000000E+00 1.017875078E+05 3.003903809E+02
