TITLE     = "Fluent Common Fluid Files Data"
VARIABLES = "X"
"Y"
"Static Pressure"
"Static Temperature"
DATASETAUXDATA Common.DensityVar="5"
DATASETAUXDATA Common.PressureVar="11"
DATASETAUXDATA Common.TemperatureVar="13"
DATASETAUXDATA Common.TurbulentDynamicViscosityVar="9"
DATASETAUXDATA Common.TurbulentKineticEnergyVar="7"
DATASETAUXDATA Common.UVar="14"
DATASETAUXDATA Common.VectorVarsAreVelocity="True"
DATASETAUXDATA Common.ViscosityVar="8"
DATASETAUXDATA Common.VVar="15"
ZONE T="Rectangular zone"
 STRANDID=0, SOLUTIONTIME=6530
 I=512, J=512, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE SINGLE SINGLE )
 -5.000000000E-01 -1.000000000E+00 1.017886406E+05 3.003912048E+02
 -4.960860908E-01 -1.000000000E+00 1.017889375E+05 3.003914490E+02
 -4.921722114E-01 -1.000000000E+00 1.017892344E+05 3.003916931E+02
 -4.882583022E-01 -1.000000000E+00 1.017894531E+05 3.003919067E+02
 -4.843444228E-01 -1.000000000E+00 1.017896094E+05 3.003920288E+02
 -4.804305136E-01 -1.000000000E+00 1.017898828E+05 3.003922729E+02
 -4.765166342E-01 -1.000000000E+00 1.017901484E+05 3.003924866E+02
 -4.726027250E-01 -1.000000000E+00 1.017903984E+05 3.003927002E+02
 -4.686888456E-01 -1.000000000E+00 1.017904844E+05 3.003927612E+02
 -4.647749364E-01 -1.000000000E+00 1.017906250E+05 3.003928833E+02
 -4.608610570E-01 -1.000000000E+00 1.017908672E+05 3.003930969E+02
 -4.569471478E-01 -1.000000000E+00 1.017911094E+05 3.003933105E+02
 -4.530332685E-01 -1.000000000E+00 1.017911953E+05 3.003933716E+02
 -4.491193593E-01 -1.000000000E+00 1.017912500E+05 3.003934326E+02
 -4.452054799E-01 -1.000000000E+00 1.017913984E+05 3.003935547E+02
 -4.412915707E-01 -1.000000000E+00 1.017916094E+05 3.003937378E+02
 -4.373776913E-01 -1.000000000E+00 1.017916953E+05 3.003938293E+02
 -4.334637821E-01 -1.000000000E+00 1.017917188E+05 3.003938599E+02
 -4.295499027E-01 -1.000000000E+00 1.017917500E+05 3.003938904E+02
 -4.256359935E-01 -1.000000000E+00 1.017919219E+05 3.003940430E+02
 -4.217221141E-01 -1.000000000E+00 1.017919922E+05 3.003941040E+02
 -4.178082049E-01 -1.000000000E+00 1.017919922E+05 3.003941345E+02
 -4.138943255E-01 -1.000000000E+00 1.017919844E+05 3.003941345E+02
 -4.099804163E-01 -1.000000000E+00 1.017920391E+05 3.003941956E+02
 -4.060665369E-01 -1.000000000E+00 1.017920938E+05 3.003942566E+02
 -4.021526277E-01 -1.000000000E+00 1.017920625E+05 3.003942261E+02
 -3.982387483E-01 -1.000000000E+00 1.017920312E+05 3.003942261E+02
 -3.943248391E-01 -1.000000000E+00 1.017920078E+05 3.003941956E+02
 -3.904109597E-01 -1.000000000E+00 1.017920000E+05 3.003942261E+02
 -3.864970505E-01 -1.000000000E+00 1.017919453E+05 3.003941956E+02
 -3.825831711E-01 -1.000000000E+00 1.017919062E+05 3.003941650E+02
 -3.786692619E-01 -1.000000000E+00 1.017918594E+05 3.003941650E+02
 -3.747553825E-01 -1.000000000E+00 1.017917422E+05 3.003941040E+02
 -3.708414733E-01 -1.000000000E+00 1.017916641E+05 3.003940430E+02
 -3.669275939E-01 -1.000000000E+00 1.017915938E+05 3.003940125E+02
 -3.630136847E-01 -1.000000000E+00 1.017915078E+05 3.003939819E+02
 -3.590998054E-01 -1.000000000E+00 1.017912656E+05 3.003937988E+02
 -3.551858962E-01 -1.000000000E+00 1.017911641E+05 3.003937073E+02
 -3.512720168E-01 -1.000000000E+00 1.017910547E+05 3.003936462E+02
 -3.473581076E-01 -1.000000000E+00 1.017908516E+05 3.003934937E+02
 -3.434442282E-01 -1.000000000E+00 1.017905781E+05 3.003932800E+02
 -3.395303190E-01 -1.000000000E+00 1.017904453E+05 3.003931580E+02
 -3.356164396E-01 -1.000000000E+00 1.017903125E+05 3.003930664E+02
 -3.317025304E-01 -1.000000000E+00 1.017899766E+05 3.003927917E+02
 -3.277886510E-01 -1.000000000E+00 1.017896875E+05 3.003925781E+02
 -3.238747418E-01 -1.000000000E+00 1.017895234E+05 3.003924561E+02
 -3.199608624E-01 -1.000000000E+00 1.017893281E+05 3.003923035E+02
 -3.160469532E-01 -1.000000000E+00 1.017888906E+05 3.003919373E+02
 -3.121330738E-01 -1.000000000E+00 1.017886094E+05 3.003917236E+02
 -3.082191646E-01 -1.000000000E+00 1.017884219E+05 3.003915710E+02
 -3.043052852E-01 -1.000000000E+00 1.017880625E+05 3.003912964E+02
 -3.003913760E-01 -1.000000000E+00 1.017876094E+05 3.003909302E+02
 -2.964774966E-01 -1.000000000E+00 1.017873516E+05 3.003907166E+02
 -2.925635874E-01 -1.000000000E+00 1.017870938E+05 3.003905029E+02
 -2.886497080E-01 -1.000000000E+00 1.017866172E+05 3.003901062E+02
 -2.847357988E-01 -1.000000000E+00 1.017861562E+05 3.003897400E+02
 -2.808219194E-01 -1.000000000E+00 1.017859297E+05 3.003895569E+02
 -2.769080102E-01 -1.000000000E+00 1.017854922E+05 3.003891907E+02
 -2.729941308E-01 -1.000000000E+00 1.017850000E+05 3.003887939E+02
 -2.690802217E-01 -1.000000000E+00 1.017846016E+05 3.003884583E+02
 -2.651663423E-01 -1.000000000E+00 1.017842422E+05 3.003881531E+02
