TITLE     = "Fluent Common Fluid Files Data"
VARIABLES = "X"
"Y"
"Static Pressure"
"Static Temperature"
DATASETAUXDATA Common.DensityVar="5"
DATASETAUXDATA Common.PressureVar="11"
DATASETAUXDATA Common.TemperatureVar="13"
DATASETAUXDATA Common.TurbulentDynamicViscosityVar="9"
DATASETAUXDATA Common.TurbulentKineticEnergyVar="7"
DATASETAUXDATA Common.UVar="14"
DATASETAUXDATA Common.VectorVarsAreVelocity="True"
DATASETAUXDATA Common.ViscosityVar="8"
DATASETAUXDATA Common.VVar="15"
ZONE T="Rectangular zone"
 STRANDID=0, SOLUTIONTIME=4630
 I=512, J=512, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE SINGLE SINGLE )
 -2.181996107E-01 -1.000000000E+00 1.016874766E+05 3.003064575E+02
 -2.142857164E-01 -1.000000000E+00 1.016864609E+05 3.003056030E+02
 -2.103718221E-01 -1.000000000E+00 1.016854844E+05 3.003047485E+02
 -2.064579278E-01 -1.000000000E+00 1.016845859E+05 3.003039856E+02
 -2.025440335E-01 -1.000000000E+00 1.016835938E+05 3.003031006E+02
 -1.986301392E-01 -1.000000000E+00 1.016825234E+05 3.003021851E+02
 -1.947162449E-01 -1.000000000E+00 1.016816250E+05 3.003013916E+02
 -1.908023506E-01 -1.000000000E+00 1.016806484E+05 3.003005371E+02
 -1.868884563E-01 -1.000000000E+00 1.016795078E+05 3.002994995E+02
 -1.829745620E-01 -1.000000000E+00 1.016785938E+05 3.002987061E+02
 -1.790606678E-01 -1.000000000E+00 1.016776094E+05 3.002978210E+02
 -1.751467735E-01 -1.000000000E+00 1.016764375E+05 3.002967834E+02
 -1.712328792E-01 -1.000000000E+00 1.016754609E+05 3.002959290E+02
 -1.673189849E-01 -1.000000000E+00 1.016744453E+05 3.002950439E+02
 -1.634050906E-01 -1.000000000E+00 1.016732578E+05 3.002940063E+02
 -1.594911963E-01 -1.000000000E+00 1.016722031E+05 3.002930908E+02
 -1.555773020E-01 -1.000000000E+00 1.016711641E+05 3.002922058E+02
 -1.516634077E-01 -1.000000000E+00 1.016699531E+05 3.002911682E+02
 -1.477495134E-01 -1.000000000E+00 1.016688516E+05 3.002902222E+02
 -1.438356191E-01 -1.000000000E+00 1.016677734E+05 3.002893372E+02
 -1.399217248E-01 -1.000000000E+00 1.016665469E+05 3.002882996E+02
 -1.360078305E-01 -1.000000000E+00 1.016654062E+05 3.002873230E+02
 -1.320939362E-01 -1.000000000E+00 1.016642812E+05 3.002863770E+02
 -1.281800419E-01 -1.000000000E+00 1.016630469E+05 3.002853088E+02
 -1.242661476E-01 -1.000000000E+00 1.016618750E+05 3.002843323E+02
 -1.203522533E-01 -1.000000000E+00 1.016606953E+05 3.002833252E+02
 -1.164383590E-01 -1.000000000E+00 1.016594531E+05 3.002822876E+02
 -1.125244647E-01 -1.000000000E+00 1.016582656E+05 3.002813110E+02
 -1.086105704E-01 -1.000000000E+00 1.016570312E+05 3.002802734E+02
 -1.046966761E-01 -1.000000000E+00 1.016557734E+05 3.002792358E+02
 -1.007827818E-01 -1.000000000E+00 1.016545391E+05 3.002782288E+02
 -9.686888754E-02 -1.000000000E+00 1.016532891E+05 3.002772217E+02
 -9.295499325E-02 -1.000000000E+00 1.016518047E+05 3.002760315E+02
 -8.904109895E-02 -1.000000000E+00 1.016502500E+05 3.002747803E+02
 -8.512720466E-02 -1.000000000E+00 1.016487266E+05 3.002735596E+02
 -8.121331036E-02 -1.000000000E+00 1.016471953E+05 3.002723389E+02
 -7.729941607E-02 -1.000000000E+00 1.016456016E+05 3.002710571E+02
 -7.338552177E-02 -1.000000000E+00 1.016440781E+05 3.002698364E+02
 -6.947162747E-02 -1.000000000E+00 1.016425312E+05 3.002686157E+02
 -6.555773318E-02 -1.000000000E+00 1.016409141E+05 3.002672729E+02
 -6.164383516E-02 -1.000000000E+00 1.016393984E+05 3.002660522E+02
 -5.772994086E-02 -1.000000000E+00 1.016377422E+05 3.002647095E+02
 -5.381604657E-02 -1.000000000E+00 1.016362109E+05 3.002634583E+02
 -4.990215227E-02 -1.000000000E+00 1.016347031E+05 3.002622070E+02
 -4.598825797E-02 -1.000000000E+00 1.016330000E+05 3.002608032E+02
 -4.207436368E-02 -1.000000000E+00 1.016315156E+05 3.002595825E+02
 -3.816046938E-02 -1.000000000E+00 1.016299531E+05 3.002583008E+02
 -3.424657509E-02 -1.000000000E+00 1.016283047E+05 3.002569275E+02
