TITLE     = "Fluent Common Fluid Files Data"
VARIABLES = "X"
"Y"
"Static Pressure"
"Static Temperature"
DATASETAUXDATA Common.DensityVar="5"
DATASETAUXDATA Common.PressureVar="11"
DATASETAUXDATA Common.TemperatureVar="13"
DATASETAUXDATA Common.TurbulentDynamicViscosityVar="9"
DATASETAUXDATA Common.TurbulentKineticEnergyVar="7"
DATASETAUXDATA Common.UVar="14"
DATASETAUXDATA Common.VectorVarsAreVelocity="True"
DATASETAUXDATA Common.ViscosityVar="8"
DATASETAUXDATA Common.VVar="15"
ZONE T="Rectangular zone"
 STRANDID=0, SOLUTIONTIME=5720
 I=512, J=512, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE SINGLE SINGLE )
 -5.000000000E-01 -1.000000000E+00 1.018750234E+05 3.004645081E+02
 -4.960860908E-01 -1.000000000E+00 1.018761953E+05 3.004655151E+02
 -4.921722114E-01 -1.000000000E+00 1.018773047E+05 3.004664612E+02
 -4.882583022E-01 -1.000000000E+00 1.018784297E+05 3.004674377E+02
 -4.843444228E-01 -1.000000000E+00 1.018796016E+05 3.004684448E+02
 -4.804305136E-01 -1.000000000E+00 1.018807578E+05 3.004694214E+02
 -4.765166342E-01 -1.000000000E+00 1.018818750E+05 3.004703674E+02
 -4.726027250E-01 -1.000000000E+00 1.018829531E+05 3.004713135E+02
 -4.686888456E-01 -1.000000000E+00 1.018840469E+05 3.004722290E+02
 -4.647749364E-01 -1.000000000E+00 1.018851875E+05 3.004732361E+02
 -4.608610570E-01 -1.000000000E+00 1.018863203E+05 3.004741821E+02
 -4.569471478E-01 -1.000000000E+00 1.018873750E+05 3.004750977E+02
 -4.530332685E-01 -1.000000000E+00 1.018884375E+05 3.004760132E+02
 -4.491193593E-01 -1.000000000E+00 1.018895000E+05 3.004769287E+02
 -4.452054799E-01 -1.000000000E+00 1.018906172E+05 3.004778748E+02
 -4.412915707E-01 -1.000000000E+00 1.018916719E+05 3.004787598E+02
 -4.373776913E-01 -1.000000000E+00 1.018927031E+05 3.004796448E+02
 -4.334637821E-01 -1.000000000E+00 1.018937344E+05 3.004805298E+02
 -4.295499027E-01 -1.000000000E+00 1.018947812E+05 3.004814453E+02
 -4.256359935E-01 -1.000000000E+00 1.018958281E+05 3.004823303E+02
 -4.217221141E-01 -1.000000000E+00 1.018968438E+05 3.004832153E+02
 -4.178082049E-01 -1.000000000E+00 1.018978516E+05 3.004840698E+02
 -4.138943255E-01 -1.000000000E+00 1.018988594E+05 3.004849243E+02
 -4.099804163E-01 -1.000000000E+00 1.018999609E+05 3.004858704E+02
 -4.060665369E-01 -1.000000000E+00 1.019011719E+05 3.004868774E+02
 -4.021526277E-01 -1.000000000E+00 1.019023828E+05 3.004878845E+02
 -3.982387483E-01 -1.000000000E+00 1.019035938E+05 3.004889221E+02
 -3.943248391E-01 -1.000000000E+00 1.019047500E+05 3.004898682E+02
 -3.904109597E-01 -1.000000000E+00 1.019059219E+05 3.004908752E+02
 -3.864970505E-01 -1.000000000E+00 1.019071094E+05 3.004918518E+02
 -3.825831711E-01 -1.000000000E+00 1.019082891E+05 3.004928284E+02
 -3.786692619E-01 -1.000000000E+00 1.019094062E+05 3.004937744E+02
 -3.747553825E-01 -1.000000000E+00 1.019105078E+05 3.004946899E+02
 -3.708414733E-01 -1.000000000E+00 1.019116562E+05 3.004956665E+02
 -3.669275939E-01 -1.000000000E+00 1.019128125E+05 3.004966431E+02
 -3.630136847E-01 -1.000000000E+00 1.019138672E+05 3.004975281E+02
 -3.590998054E-01 -1.000000000E+00 1.019149141E+05 3.004984131E+02
 -3.551858962E-01 -1.000000000E+00 1.019160391E+05 3.004993286E+02
 -3.512720168E-01 -1.000000000E+00 1.019171641E+05 3.005002747E+02
 -3.473581076E-01 -1.000000000E+00 1.019181641E+05 3.005011292E+02
 -3.434442282E-01 -1.000000000E+00 1.019191562E+05 3.005019836E+02
 -3.395303190E-01 -1.000000000E+00 1.019202578E+05 3.005028687E+02
 -3.356164396E-01 -1.000000000E+00 1.019213281E+05 3.005037842E+02
 -3.317025304E-01 -1.000000000E+00 1.019222812E+05 3.005045776E+02
 -3.277886510E-01 -1.000000000E+00 1.019232422E+05 3.005054016E+02
 -3.238747418E-01 -1.000000000E+00 1.019243125E+05 3.005062866E+02
 -3.199608624E-01 -1.000000000E+00 1.019253047E+05 3.005071411E+02
 -3.160469532E-01 -1.000000000E+00 1.019262266E+05 3.005079346E+02
 -3.121330738E-01 -1.000000000E+00 1.019271641E+05 3.005087280E+02
 -3.082191646E-01 -1.000000000E+00 1.019282031E+05 3.005095825E+02
 -3.043052852E-01 -1.000000000E+00 1.019291094E+05 3.005103760E+02
 -3.003913760E-01 -1.000000000E+00 1.019300078E+05 3.005111389E+02
 -2.964774966E-01 -1.000000000E+00 1.019309297E+05 3.005119019E+02
 -2.925635874E-01 -1.000000000E+00 1.019318750E+05 3.005126953E+02
 -2.886497080E-01 -1.000000000E+00 1.019327578E+05 3.005134583E+02
 -2.847357988E-01 -1.000000000E+00 1.019336250E+05 3.005141907E+02
 -2.808219194E-01 -1.000000000E+00 1.019345391E+05 3.005149841E+02
 -2.769080102E-01 -1.000000000E+00 1.019353906E+05 3.005157166E+02
 -2.729941308E-01 -1.000000000E+00 1.019362422E+05 3.005164490E+02
 -2.690802217E-01 -1.000000000E+00 1.019370859E+05 3.005171509E+02
 -2.651663423E-01 -1.000000000E+00 1.019379219E+05 3.005178833E+02
