TITLE     = "Fluent Common Fluid Files Data"
VARIABLES = "X"
"Y"
"Static Pressure"
"Static Temperature"
DATASETAUXDATA Common.DensityVar="5"
DATASETAUXDATA Common.PressureVar="11"
DATASETAUXDATA Common.TemperatureVar="13"
DATASETAUXDATA Common.TurbulentDynamicViscosityVar="9"
DATASETAUXDATA Common.TurbulentKineticEnergyVar="7"
DATASETAUXDATA Common.UVar="14"
DATASETAUXDATA Common.VectorVarsAreVelocity="True"
DATASETAUXDATA Common.ViscosityVar="8"
DATASETAUXDATA Common.VVar="15"
ZONE T="Rectangular zone"
 STRANDID=0, SOLUTIONTIME=2535
 I=512, J=512, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE SINGLE SINGLE )
 -5.000000000E-01 -1.000000000E+00 1.016176797E+05 3.002469482E+02
 -4.960860908E-01 -1.000000000E+00 1.016170078E+05 3.002463989E+02
 -4.921722114E-01 -1.000000000E+00 1.016163281E+05 3.002458191E+02
 -4.882583022E-01 -1.000000000E+00 1.016155703E+05 3.002452087E+02
 -4.843444228E-01 -1.000000000E+00 1.016145547E+05 3.002443542E+02
 -4.804305136E-01 -1.000000000E+00 1.016136094E+05 3.002435608E+02
 -4.765166342E-01 -1.000000000E+00 1.016128828E+05 3.002429504E+02
 -4.726027250E-01 -1.000000000E+00 1.016121562E+05 3.002423401E+02
 -4.686888456E-01 -1.000000000E+00 1.016111406E+05 3.002414856E+02
 -4.647749364E-01 -1.000000000E+00 1.016100703E+05 3.002405701E+02
 -4.608610570E-01 -1.000000000E+00 1.016090859E+05 3.002397461E+02
 -4.569471478E-01 -1.000000000E+00 1.016083125E+05 3.002391052E+02
 -4.530332685E-01 -1.000000000E+00 1.016073359E+05 3.002382812E+02
 -4.491193593E-01 -1.000000000E+00 1.016062109E+05 3.002373352E+02
 -4.452054799E-01 -1.000000000E+00 1.016050781E+05 3.002363892E+02
 -4.412915707E-01 -1.000000000E+00 1.016041250E+05 3.002355957E+02
 -4.373776913E-01 -1.000000000E+00 1.016031484E+05 3.002347717E+02
 -4.334637821E-01 -1.000000000E+00 1.016019766E+05 3.002337952E+02
 -4.295499027E-01 -1.000000000E+00 1.016007969E+05 3.002327881E+02
 -4.256359935E-01 -1.000000000E+00 1.015996250E+05 3.002318115E+02
 -4.217221141E-01 -1.000000000E+00 1.015986094E+05 3.002309570E+02
 -4.178082049E-01 -1.000000000E+00 1.015973906E+05 3.002299194E+02
 -4.138943255E-01 -1.000000000E+00 1.015961719E+05 3.002289124E+02
 -4.099804163E-01 -1.000000000E+00 1.015949531E+05 3.002278748E+02
 -4.060665369E-01 -1.000000000E+00 1.015937109E+05 3.002268372E+02
 -4.021526277E-01 -1.000000000E+00 1.015924141E+05 3.002257385E+02
 -3.982387483E-01 -1.000000000E+00 1.015911172E+05 3.002246399E+02
 -3.943248391E-01 -1.000000000E+00 1.015898125E+05 3.002235413E+02
 -3.904109597E-01 -1.000000000E+00 1.015883281E+05 3.002222900E+02
 -3.864970505E-01 -1.000000000E+00 1.015870000E+05 3.002211914E+02
 -3.825831711E-01 -1.000000000E+00 1.015856641E+05 3.002200623E+02
 -3.786692619E-01 -1.000000000E+00 1.015842578E+05 3.002188721E+02
 -3.747553825E-01 -1.000000000E+00 1.015826562E+05 3.002174988E+02
 -3.708414733E-01 -1.000000000E+00 1.015813047E+05 3.002163696E+02
 -3.669275939E-01 -1.000000000E+00 1.015799531E+05 3.002152100E+02
 -3.630136847E-01 -1.000000000E+00 1.015784141E+05 3.002138977E+02
 -3.590998054E-01 -1.000000000E+00 1.015767188E+05 3.002124634E+02
 -3.551858962E-01 -1.000000000E+00 1.015753516E+05 3.002113037E+02
 -3.512720168E-01 -1.000000000E+00 1.015739844E+05 3.002101440E+02
 -3.473581076E-01 -1.000000000E+00 1.015722891E+05 3.002087097E+02
 -3.434442282E-01 -1.000000000E+00 1.015704531E+05 3.002071838E+02
 -3.395303190E-01 -1.000000000E+00 1.015690625E+05 3.002060242E+02
 -3.356164396E-01 -1.000000000E+00 1.015676484E+05 3.002048340E+02
 -3.317025304E-01 -1.000000000E+00 1.015657422E+05 3.002032776E+02
 -3.277886510E-01 -1.000000000E+00 1.015638125E+05 3.002016907E+02
 -3.238747418E-01 -1.000000000E+00 1.015623984E+05 3.002005310E+02
 -3.199608624E-01 -1.000000000E+00 1.015607578E+05 3.001991882E+02
 -3.160469532E-01 -1.000000000E+00 1.015587500E+05 3.001975403E+02
 -3.121330738E-01 -1.000000000E+00 1.015568359E+05 3.001959839E+02
 -3.082191646E-01 -1.000000000E+00 1.015554062E+05 3.001947937E+02
 -3.043052852E-01 -1.000000000E+00 1.015534609E+05 3.001931763E+02
 -3.003913760E-01 -1.000000000E+00 1.015514141E+05 3.001914978E+02
 -2.964774966E-01 -1.000000000E+00 1.015495938E+05 3.001899719E+02
 -2.925635874E-01 -1.000000000E+00 1.015479375E+05 3.001885681E+02
 -2.886497080E-01 -1.000000000E+00 1.015458438E+05 3.001867981E+02
 -2.847357988E-01 -1.000000000E+00 1.015437891E+05 3.001850586E+02
 -2.808219194E-01 -1.000000000E+00 1.015421172E+05 3.001835938E+02
 -2.769080102E-01 -1.000000000E+00 1.015400547E+05 3.001818542E+02
 -2.729941308E-01 -1.000000000E+00 1.015379531E+05 3.001800537E+02
 -2.690802217E-01 -1.000000000E+00 1.015358828E+05 3.001782532E+02
 -2.651663423E-01 -1.000000000E+00 1.015340078E+05 3.001766357E+02
