TITLE     = "Fluent Common Fluid Files Data"
VARIABLES = "X"
"Y"
"Static Pressure"
"Static Temperature"
DATASETAUXDATA Common.DensityVar="5"
DATASETAUXDATA Common.PressureVar="11"
DATASETAUXDATA Common.TemperatureVar="13"
DATASETAUXDATA Common.TurbulentDynamicViscosityVar="9"
DATASETAUXDATA Common.TurbulentKineticEnergyVar="7"
DATASETAUXDATA Common.UVar="14"
DATASETAUXDATA Common.VectorVarsAreVelocity="True"
DATASETAUXDATA Common.ViscosityVar="8"
DATASETAUXDATA Common.VVar="15"
ZONE T="Rectangular zone"
 STRANDID=0, SOLUTIONTIME=2540
 I=512, J=512, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE SINGLE SINGLE )
 -5.000000000E-01 -1.000000000E+00 1.015618359E+05 3.001999512E+02
 -4.960860908E-01 -1.000000000E+00 1.015606641E+05 3.001989746E+02
 -4.921722114E-01 -1.000000000E+00 1.015594609E+05 3.001979675E+02
 -4.882583022E-01 -1.000000000E+00 1.015579531E+05 3.001966858E+02
 -4.843444228E-01 -1.000000000E+00 1.015564453E+05 3.001954041E+02
 -4.804305136E-01 -1.000000000E+00 1.015550312E+05 3.001942139E+02
 -4.765166342E-01 -1.000000000E+00 1.015538047E+05 3.001931763E+02
 -4.726027250E-01 -1.000000000E+00 1.015524922E+05 3.001920776E+02
 -4.686888456E-01 -1.000000000E+00 1.015508984E+05 3.001907349E+02
 -4.647749364E-01 -1.000000000E+00 1.015492969E+05 3.001893616E+02
 -4.608610570E-01 -1.000000000E+00 1.015477266E+05 3.001880493E+02
 -4.569471478E-01 -1.000000000E+00 1.015464375E+05 3.001869507E+02
 -4.530332685E-01 -1.000000000E+00 1.015449219E+05 3.001856689E+02
 -4.491193593E-01 -1.000000000E+00 1.015432344E+05 3.001842041E+02
 -4.452054799E-01 -1.000000000E+00 1.015415469E+05 3.001827393E+02
 -4.412915707E-01 -1.000000000E+00 1.015398984E+05 3.001813049E+02
 -4.373776913E-01 -1.000000000E+00 1.015384688E+05 3.001801147E+02
 -4.334637821E-01 -1.000000000E+00 1.015366562E+05 3.001785889E+02
 -4.295499027E-01 -1.000000000E+00 1.015348438E+05 3.001770630E+02
 -4.256359935E-01 -1.000000000E+00 1.015330312E+05 3.001755371E+02
 -4.217221141E-01 -1.000000000E+00 1.015313672E+05 3.001741638E+02
 -4.178082049E-01 -1.000000000E+00 1.015294219E+05 3.001726074E+02
 -4.138943255E-01 -1.000000000E+00 1.015274531E+05 3.001710205E+02
 -4.099804163E-01 -1.000000000E+00 1.015254844E+05 3.001694336E+02
 -4.060665369E-01 -1.000000000E+00 1.015233984E+05 3.001677856E+02
 -4.021526277E-01 -1.000000000E+00 1.015211562E+05 3.001659546E+02
 -3.982387483E-01 -1.000000000E+00 1.015189062E+05 3.001641235E+02
 -3.943248391E-01 -1.000000000E+00 1.015166641E+05 3.001623230E+02
 -3.904109597E-01 -1.000000000E+00 1.015142422E+05 3.001603088E+02
 -3.864970505E-01 -1.000000000E+00 1.015120000E+05 3.001584778E+02
 -3.825831711E-01 -1.000000000E+00 1.015097500E+05 3.001566162E+02
 -3.786692619E-01 -1.000000000E+00 1.015073516E+05 3.001546326E+02
 -3.747553825E-01 -1.000000000E+00 1.015049453E+05 3.001526184E+02
 -3.708414733E-01 -1.000000000E+00 1.015027266E+05 3.001507263E+02
 -3.669275939E-01 -1.000000000E+00 1.015004844E+05 3.001488342E+02
 -3.630136847E-01 -1.000000000E+00 1.014979219E+05 3.001466675E+02
 -3.590998054E-01 -1.000000000E+00 1.014955078E+05 3.001446228E+02
 -3.551858962E-01 -1.000000000E+00 1.014932734E+05 3.001427002E+02
 -3.512720168E-01 -1.000000000E+00 1.014908359E+05 3.001406555E+02
 -3.473581076E-01 -1.000000000E+00 1.014881953E+05 3.001384277E+02
 -3.434442282E-01 -1.000000000E+00 1.014857422E+05 3.001363525E+02
 -3.395303190E-01 -1.000000000E+00 1.014834844E+05 3.001344299E+02
 -3.356164396E-01 -1.000000000E+00 1.014808359E+05 3.001322021E+02
 -3.317025304E-01 -1.000000000E+00 1.014781562E+05 3.001299133E+02
 -3.277886510E-01 -1.000000000E+00 1.014757109E+05 3.001277466E+02
 -3.238747418E-01 -1.000000000E+00 1.014733594E+05 3.001256714E+02
 -3.199608624E-01 -1.000000000E+00 1.014706562E+05 3.001233215E+02
 -3.160469532E-01 -1.000000000E+00 1.014679219E+05 3.001209717E+02
 -3.121330738E-01 -1.000000000E+00 1.014654219E+05 3.001187744E+02
 -3.082191646E-01 -1.000000000E+00 1.014628984E+05 3.001165771E+02
 -3.043052852E-01 -1.000000000E+00 1.014601094E+05 3.001141968E+02
 -3.003913760E-01 -1.000000000E+00 1.014572266E+05 3.001118774E+02
 -2.964774966E-01 -1.000000000E+00 1.014546562E+05 3.001097717E+02
 -2.925635874E-01 -1.000000000E+00 1.014518281E+05 3.001074829E+02
 -2.886497080E-01 -1.000000000E+00 1.014488906E+05 3.001051025E+02
 -2.847357988E-01 -1.000000000E+00 1.014459297E+05 3.001026611E+02
 -2.808219194E-01 -1.000000000E+00 1.014432734E+05 3.001004944E+02
 -2.769080102E-01 -1.000000000E+00 1.014402578E+05 3.000980225E+02
 -2.729941308E-01 -1.000000000E+00 1.014372422E+05 3.000955505E+02
 -2.690802217E-01 -1.000000000E+00 1.014342344E+05 3.000930481E+02
 -2.651663423E-01 -1.000000000E+00 1.014314062E+05 3.000906982E+02
