TITLE     = "Fluent Common Fluid Files Data"
VARIABLES = "X"
"Y"
"Static Pressure"
"Static Temperature"
DATASETAUXDATA Common.DensityVar="5"
DATASETAUXDATA Common.PressureVar="11"
DATASETAUXDATA Common.TemperatureVar="13"
DATASETAUXDATA Common.TurbulentDynamicViscosityVar="9"
DATASETAUXDATA Common.TurbulentKineticEnergyVar="7"
DATASETAUXDATA Common.UVar="14"
DATASETAUXDATA Common.VectorVarsAreVelocity="True"
DATASETAUXDATA Common.ViscosityVar="8"
DATASETAUXDATA Common.VVar="15"
ZONE T="Rectangular zone"
 STRANDID=0, SOLUTIONTIME=5520
 I=512, J=512, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE SINGLE SINGLE )
 -5.000000000E-01 -1.000000000E+00 1.018467891E+05 3.004405212E+02
 -4.960860908E-01 -1.000000000E+00 1.018478750E+05 3.004414368E+02
 -4.921722114E-01 -1.000000000E+00 1.018488984E+05 3.004423218E+02
 -4.882583022E-01 -1.000000000E+00 1.018499766E+05 3.004432373E+02
 -4.843444228E-01 -1.000000000E+00 1.018510547E+05 3.004441528E+02
 -4.804305136E-01 -1.000000000E+00 1.018521250E+05 3.004450684E+02
 -4.765166342E-01 -1.000000000E+00 1.018531641E+05 3.004459534E+02
 -4.726027250E-01 -1.000000000E+00 1.018541484E+05 3.004468079E+02
 -4.686888456E-01 -1.000000000E+00 1.018551875E+05 3.004476929E+02
 -4.647749364E-01 -1.000000000E+00 1.018562344E+05 3.004485779E+02
 -4.608610570E-01 -1.000000000E+00 1.018572812E+05 3.004494934E+02
 -4.569471478E-01 -1.000000000E+00 1.018582422E+05 3.004503174E+02
 -4.530332685E-01 -1.000000000E+00 1.018592031E+05 3.004511414E+02
 -4.491193593E-01 -1.000000000E+00 1.018602109E+05 3.004519958E+02
 -4.452054799E-01 -1.000000000E+00 1.018612344E+05 3.004528809E+02
 -4.412915707E-01 -1.000000000E+00 1.018622031E+05 3.004537048E+02
 -4.373776913E-01 -1.000000000E+00 1.018631406E+05 3.004544983E+02
 -4.334637821E-01 -1.000000000E+00 1.018640703E+05 3.004553223E+02
 -4.295499027E-01 -1.000000000E+00 1.018650625E+05 3.004561462E+02
 -4.256359935E-01 -1.000000000E+00 1.018660312E+05 3.004569702E+02
 -4.217221141E-01 -1.000000000E+00 1.018669453E+05 3.004577637E+02
 -4.178082049E-01 -1.000000000E+00 1.018678516E+05 3.004585266E+02
 -4.138943255E-01 -1.000000000E+00 1.018687656E+05 3.004593201E+02
 -4.099804163E-01 -1.000000000E+00 1.018697266E+05 3.004601440E+02
 -4.060665369E-01 -1.000000000E+00 1.018706172E+05 3.004609070E+02
 -4.021526277E-01 -1.000000000E+00 1.018715000E+05 3.004616699E+02
 -3.982387483E-01 -1.000000000E+00 1.018723906E+05 3.004624329E+02
 -3.943248391E-01 -1.000000000E+00 1.018732891E+05 3.004631958E+02
 -3.904109597E-01 -1.000000000E+00 1.018741562E+05 3.004639282E+02
 -3.864970505E-01 -1.000000000E+00 1.018751797E+05 3.004647827E+02
 -3.825831711E-01 -1.000000000E+00 1.018762500E+05 3.004656982E+02
 -3.786692619E-01 -1.000000000E+00 1.018773047E+05 3.004665527E+02
 -3.747553825E-01 -1.000000000E+00 1.018783203E+05 3.004674072E+02
 -3.708414733E-01 -1.000000000E+00 1.018793672E+05 3.004682922E+02
 -3.669275939E-01 -1.000000000E+00 1.018804062E+05 3.004691467E+02
 -3.630136847E-01 -1.000000000E+00 1.018814141E+05 3.004700012E+02
 -3.590998054E-01 -1.000000000E+00 1.018823594E+05 3.004707947E+02
 -3.551858962E-01 -1.000000000E+00 1.018833672E+05 3.004716187E+02
 -3.512720168E-01 -1.000000000E+00 1.018843750E+05 3.004724731E+02
 -3.473581076E-01 -1.000000000E+00 1.018853203E+05 3.004732666E+02
 -3.434442282E-01 -1.000000000E+00 1.018862109E+05 3.004740295E+02
 -3.395303190E-01 -1.000000000E+00 1.018871953E+05 3.004748535E+02
 -3.356164396E-01 -1.000000000E+00 1.018881719E+05 3.004756470E+02
 -3.317025304E-01 -1.000000000E+00 1.018890547E+05 3.004764099E+02
 -3.277886510E-01 -1.000000000E+00 1.018898984E+05 3.004771118E+02
 -3.238747418E-01 -1.000000000E+00 1.018908516E+05 3.004779053E+02
 -3.199608624E-01 -1.000000000E+00 1.018917969E+05 3.004786987E+02
 -3.160469532E-01 -1.000000000E+00 1.018926016E+05 3.004793701E+02
 -3.121330738E-01 -1.000000000E+00 1.018934219E+05 3.004800720E+02
 -3.082191646E-01 -1.000000000E+00 1.018943438E+05 3.004808350E+02
 -3.043052852E-01 -1.000000000E+00 1.018952031E+05 3.004815674E+02
 -3.003913760E-01 -1.000000000E+00 1.018959766E+05 3.004822083E+02
 -2.964774966E-01 -1.000000000E+00 1.018967812E+05 3.004828796E+02
 -2.925635874E-01 -1.000000000E+00 1.018976875E+05 3.004836426E+02
 -2.886497080E-01 -1.000000000E+00 1.018984531E+05 3.004842834E+02
 -2.847357988E-01 -1.000000000E+00 1.018991953E+05 3.004849243E+02
 -2.808219194E-01 -1.000000000E+00 1.018999922E+05 3.004855957E+02
 -2.769080102E-01 -1.000000000E+00 1.019007969E+05 3.004862671E+02
 -2.729941308E-01 -1.000000000E+00 1.019015312E+05 3.004869080E+02
 -2.690802217E-01 -1.000000000E+00 1.019022422E+05 3.004875183E+02
 -2.651663423E-01 -1.000000000E+00 1.019030391E+05 3.004881897E+02
