TITLE     = "Fluent Common Fluid Files Data"
VARIABLES = "X"
"Y"
"Static Pressure"
"Static Temperature"
DATASETAUXDATA Common.DensityVar="5"
DATASETAUXDATA Common.PressureVar="11"
DATASETAUXDATA Common.TemperatureVar="13"
DATASETAUXDATA Common.TurbulentDynamicViscosityVar="9"
DATASETAUXDATA Common.TurbulentKineticEnergyVar="7"
DATASETAUXDATA Common.UVar="14"
DATASETAUXDATA Common.VectorVarsAreVelocity="True"
DATASETAUXDATA Common.ViscosityVar="8"
DATASETAUXDATA Common.VVar="15"
ZONE T="Rectangular zone"
 STRANDID=0, SOLUTIONTIME=4340
 I=512, J=512, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE SINGLE SINGLE )
 -5.000000000E-01 -1.000000000E+00 1.016373359E+05 3.002634888E+02
 -4.960860908E-01 -1.000000000E+00 1.016363672E+05 3.002626953E+02
 -4.921722114E-01 -1.000000000E+00 1.016353906E+05 3.002618713E+02
 -4.882583022E-01 -1.000000000E+00 1.016341250E+05 3.002608032E+02
 -4.843444228E-01 -1.000000000E+00 1.016329609E+05 3.002598267E+02
 -4.804305136E-01 -1.000000000E+00 1.016319375E+05 3.002589722E+02
 -4.765166342E-01 -1.000000000E+00 1.016309062E+05 3.002580872E+02
 -4.726027250E-01 -1.000000000E+00 1.016297109E+05 3.002570801E+02
 -4.686888456E-01 -1.000000000E+00 1.016282500E+05 3.002558594E+02
 -4.647749364E-01 -1.000000000E+00 1.016270938E+05 3.002548828E+02
 -4.608610570E-01 -1.000000000E+00 1.016260156E+05 3.002539673E+02
 -4.569471478E-01 -1.000000000E+00 1.016248516E+05 3.002529907E+02
 -4.530332685E-01 -1.000000000E+00 1.016233281E+05 3.002517090E+02
 -4.491193593E-01 -1.000000000E+00 1.016218594E+05 3.002504883E+02
 -4.452054799E-01 -1.000000000E+00 1.016207266E+05 3.002495422E+02
 -4.412915707E-01 -1.000000000E+00 1.016195625E+05 3.002485657E+02
 -4.373776913E-01 -1.000000000E+00 1.016179922E+05 3.002472229E+02
 -4.334637821E-01 -1.000000000E+00 1.016164141E+05 3.002459106E+02
 -4.295499027E-01 -1.000000000E+00 1.016150625E+05 3.002447510E+02
 -4.256359935E-01 -1.000000000E+00 1.016138594E+05 3.002437439E+02
 -4.217221141E-01 -1.000000000E+00 1.016122422E+05 3.002424011E+02
 -4.178082049E-01 -1.000000000E+00 1.016106250E+05 3.002410278E+02
 -4.138943255E-01 -1.000000000E+00 1.016090391E+05 3.002396851E+02
 -4.099804163E-01 -1.000000000E+00 1.016077734E+05 3.002386475E+02
 -4.060665369E-01 -1.000000000E+00 1.016061250E+05 3.002372437E+02
 -4.021526277E-01 -1.000000000E+00 1.016044688E+05 3.002358704E+02
 -3.982387483E-01 -1.000000000E+00 1.016028125E+05 3.002344666E+02
 -3.943248391E-01 -1.000000000E+00 1.016013438E+05 3.002332458E+02
 -3.904109597E-01 -1.000000000E+00 1.015996562E+05 3.002318420E+02
 -3.864970505E-01 -1.000000000E+00 1.015979609E+05 3.002304382E+02
 -3.825831711E-01 -1.000000000E+00 1.015962734E+05 3.002290344E+02
 -3.786692619E-01 -1.000000000E+00 1.015945547E+05 3.002276001E+02
 -3.747553825E-01 -1.000000000E+00 1.015927734E+05 3.002261047E+02
 -3.708414733E-01 -1.000000000E+00 1.015909844E+05 3.002246094E+02
 -3.669275939E-01 -1.000000000E+00 1.015892031E+05 3.002231140E+02
 -3.630136847E-01 -1.000000000E+00 1.015872031E+05 3.002214355E+02
 -3.590998054E-01 -1.000000000E+00 1.015854062E+05 3.002199097E+02
 -3.551858962E-01 -1.000000000E+00 1.015836172E+05 3.002184143E+02
 -3.512720168E-01 -1.000000000E+00 1.015817422E+05 3.002168274E+02
 -3.473581076E-01 -1.000000000E+00 1.015795781E+05 3.002150269E+02
 -3.434442282E-01 -1.000000000E+00 1.015778125E+05 3.002135010E+02
 -3.395303190E-01 -1.000000000E+00 1.015760391E+05 3.002120056E+02
 -3.356164396E-01 -1.000000000E+00 1.015739219E+05 3.002102356E+02
 -3.317025304E-01 -1.000000000E+00 1.015717500E+05 3.002083740E+02
 -3.277886510E-01 -1.000000000E+00 1.015699844E+05 3.002068481E+02
 -3.238747418E-01 -1.000000000E+00 1.015682188E+05 3.002053223E+02
 -3.199608624E-01 -1.000000000E+00 1.015657500E+05 3.002032471E+02
 -3.160469532E-01 -1.000000000E+00 1.015636328E+05 3.002014465E+02
 -3.121330738E-01 -1.000000000E+00 1.015618359E+05 3.001998596E+02
 -3.082191646E-01 -1.000000000E+00 1.015597422E+05 3.001980591E+02
 -3.043052852E-01 -1.000000000E+00 1.015571328E+05 3.001958618E+02
 -3.003913760E-01 -1.000000000E+00 1.015551250E+05 3.001941223E+02
 -2.964774966E-01 -1.000000000E+00 1.015532812E+05 3.001925049E+02
 -2.925635874E-01 -1.000000000E+00 1.015507109E+05 3.001903076E+02
 -2.886497080E-01 -1.000000000E+00 1.015481016E+05 3.001881409E+02
 -2.847357988E-01 -1.000000000E+00 1.015461875E+05 3.001865234E+02
 -2.808219194E-01 -1.000000000E+00 1.015438828E+05 3.001845703E+02
 -2.769080102E-01 -1.000000000E+00 1.015411641E+05 3.001823120E+02
 -2.729941308E-01 -1.000000000E+00 1.015387500E+05 3.001802979E+02
 -2.690802217E-01 -1.000000000E+00 1.015366641E+05 3.001785278E+02
 -2.651663423E-01 -1.000000000E+00 1.015338828E+05 3.001762085E+02
