TITLE     = "Fluent Common Fluid Files Data"
VARIABLES = "X"
"Y"
"Static Pressure"
"Static Temperature"
DATASETAUXDATA Common.DensityVar="5"
DATASETAUXDATA Common.PressureVar="11"
DATASETAUXDATA Common.TemperatureVar="13"
DATASETAUXDATA Common.TurbulentDynamicViscosityVar="9"
DATASETAUXDATA Common.TurbulentKineticEnergyVar="7"
DATASETAUXDATA Common.UVar="14"
DATASETAUXDATA Common.VectorVarsAreVelocity="True"
DATASETAUXDATA Common.ViscosityVar="8"
DATASETAUXDATA Common.VVar="15"
ZONE T="Rectangular zone"
 STRANDID=0, SOLUTIONTIME=3430
 I=512, J=512, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE SINGLE SINGLE )
 -5.000000000E-01 -1.000000000E+00 1.016987578E+05 3.003151550E+02
 -4.960860908E-01 -1.000000000E+00 1.016986953E+05 3.003150940E+02
 -4.921722114E-01 -1.000000000E+00 1.016986328E+05 3.003150330E+02
 -4.882583022E-01 -1.000000000E+00 1.016985703E+05 3.003149719E+02
 -4.843444228E-01 -1.000000000E+00 1.016983125E+05 3.003147278E+02
 -4.804305136E-01 -1.000000000E+00 1.016980625E+05 3.003145142E+02
 -4.765166342E-01 -1.000000000E+00 1.016979609E+05 3.003144226E+02
 -4.726027250E-01 -1.000000000E+00 1.016978594E+05 3.003143616E+02
 -4.686888456E-01 -1.000000000E+00 1.016976562E+05 3.003141785E+02
 -4.647749364E-01 -1.000000000E+00 1.016973125E+05 3.003138733E+02
 -4.608610570E-01 -1.000000000E+00 1.016970391E+05 3.003136292E+02
 -4.569471478E-01 -1.000000000E+00 1.016969062E+05 3.003135376E+02
 -4.530332685E-01 -1.000000000E+00 1.016967344E+05 3.003133850E+02
 -4.491193593E-01 -1.000000000E+00 1.016963672E+05 3.003130798E+02
 -4.452054799E-01 -1.000000000E+00 1.016960000E+05 3.003127747E+02
 -4.412915707E-01 -1.000000000E+00 1.016957266E+05 3.003125305E+02
 -4.373776913E-01 -1.000000000E+00 1.016955703E+05 3.003124084E+02
 -4.334637821E-01 -1.000000000E+00 1.016951875E+05 3.003120728E+02
 -4.295499027E-01 -1.000000000E+00 1.016948047E+05 3.003117371E+02
 -4.256359935E-01 -1.000000000E+00 1.016944219E+05 3.003114014E+02
 -4.217221141E-01 -1.000000000E+00 1.016941797E+05 3.003112183E+02
 -4.178082049E-01 -1.000000000E+00 1.016938125E+05 3.003108826E+02
 -4.138943255E-01 -1.000000000E+00 1.016934062E+05 3.003105469E+02
 -4.099804163E-01 -1.000000000E+00 1.016930078E+05 3.003102112E+02
 -4.060665369E-01 -1.000000000E+00 1.016926328E+05 3.003098755E+02
 -4.021526277E-01 -1.000000000E+00 1.016922422E+05 3.003095398E+02
 -3.982387483E-01 -1.000000000E+00 1.016918203E+05 3.003092041E+02
 -3.943248391E-01 -1.000000000E+00 1.016914062E+05 3.003088379E+02
 -3.904109597E-01 -1.000000000E+00 1.016910000E+05 3.003085022E+02
 -3.864970505E-01 -1.000000000E+00 1.016904922E+05 3.003080750E+02
 -3.825831711E-01 -1.000000000E+00 1.016900469E+05 3.003077393E+02
 -3.786692619E-01 -1.000000000E+00 1.016896016E+05 3.003073730E+02
 -3.747553825E-01 -1.000000000E+00 1.016891172E+05 3.003069763E+02
 -3.708414733E-01 -1.000000000E+00 1.016884531E+05 3.003064270E+02
 -3.669275939E-01 -1.000000000E+00 1.016879766E+05 3.003060303E+02
 -3.630136847E-01 -1.000000000E+00 1.016874922E+05 3.003056335E+02
 -3.590998054E-01 -1.000000000E+00 1.016868750E+05 3.003051147E+02
 -3.551858962E-01 -1.000000000E+00 1.016861250E+05 3.003045044E+02
 -3.512720168E-01 -1.000000000E+00 1.016856094E+05 3.003040771E+02
 -3.473581076E-01 -1.000000000E+00 1.016850938E+05 3.003036499E+02
 -3.434442282E-01 -1.000000000E+00 1.016843203E+05 3.003030090E+02
 -3.395303190E-01 -1.000000000E+00 1.016835156E+05 3.003023376E+02
 -3.356164396E-01 -1.000000000E+00 1.016829609E+05 3.003018799E+02
 -3.317025304E-01 -1.000000000E+00 1.016824062E+05 3.003014526E+02
 -3.277886510E-01 -1.000000000E+00 1.016814453E+05 3.003006287E+02
 -3.238747418E-01 -1.000000000E+00 1.016806172E+05 3.002999573E+02
 -3.199608624E-01 -1.000000000E+00 1.016800312E+05 3.002994690E+02
 -3.160469532E-01 -1.000000000E+00 1.016792656E+05 3.002988281E+02
 -3.121330738E-01 -1.000000000E+00 1.016782734E+05 3.002980042E+02
 -3.082191646E-01 -1.000000000E+00 1.016774609E+05 3.002973328E+02
 -3.043052852E-01 -1.000000000E+00 1.016768359E+05 3.002968140E+02
 -3.003913760E-01 -1.000000000E+00 1.016758516E+05 3.002959900E+02
 -2.964774966E-01 -1.000000000E+00 1.016748438E+05 3.002951355E+02
 -2.925635874E-01 -1.000000000E+00 1.016740625E+05 3.002944946E+02
 -2.886497080E-01 -1.000000000E+00 1.016732344E+05 3.002938232E+02
 -2.847357988E-01 -1.000000000E+00 1.016721953E+05 3.002929382E+02
 -2.808219194E-01 -1.000000000E+00 1.016711797E+05 3.002920837E+02
 -2.769080102E-01 -1.000000000E+00 1.016704453E+05 3.002915039E+02
 -2.729941308E-01 -1.000000000E+00 1.016693906E+05 3.002906189E+02
 -2.690802217E-01 -1.000000000E+00 1.016683516E+05 3.002897339E+02
 -2.651663423E-01 -1.000000000E+00 1.016673984E+05 3.002889404E+02
